chr	start	end	peak.annotation	target.genes	peak.te
11	334806	339622	gene.body	ostta11g01790	No_transposon
11	334800	339632	gene.body	ostta11g01790	No_transposon
11	348714	351499	internal.gene.body	ostta11g01840	No_transposon
11	348714	351499	internal.gene.body	ostta11g01840	No_transposon
11	376757	377186	internal.gene.body	ostta11g01990	No_transposon
11	376757	377186	internal.gene.body	ostta11g01990	No_transposon
11	377521	377976	TSS	ostta11g02000	No_transposon
11	377521	377976	TSS	ostta11g02000	No_transposon
11	415013	415315	internal.gene.body	ostta11g02240	No_transposon
11	415013	415315	internal.gene.body	ostta11g02240	No_transposon
11	415687	416085	internal.gene.body	ostta11g02250	No_transposon
11	415687	416085	internal.gene.body	ostta11g02250	No_transposon
11	419626	419972	internal.gene.body	ostta11g02280	No_transposon
11	419626	419972	internal.gene.body	ostta11g02280	No_transposon
11	441197	443177	gene.body	ostta11g02420	No_transposon
11	441197	443177	gene.body	ostta11g02420	No_transposon
11	453309	455167	gene.body	ostta11g02490	No_transposon
11	453309	455179	gene.body	ostta11g02490	No_transposon
11	467993	468581	internal.gene.body	ostta11g02575	No_transposon
11	467993	468626	internal.gene.body	ostta11g02575	No_transposon
11	469185	469754	internal.gene.body	ostta11g02575	No_transposon
11	469185	469754	internal.gene.body	ostta11g02575	No_transposon
11	488259	490613	TSS	ostta11g02720	No_transposon
11	488259	490613	TSS	ostta11g02720	No_transposon
11	545810	546145	internal.gene.body	ostta11g03050	No_transposon
11	545810	546145	internal.gene.body	ostta11g03050	No_transposon
11	590795	590989	internal.gene.body	ostta11g03300	No_transposon
11	590795	591009	internal.gene.body	ostta11g03300	No_transposon
11	591381	595599	TES	ostta11g03300	Unclassified_transposon
11	591381	595607	TES	ostta11g03300	Unclassified_transposon
12	192	1381	TES	ostta12g00010	Unclassified_transposon
12	187	1269	TES	ostta12g00010	Unclassified_transposon
12	32996	33373	internal.gene.body	ostta12g00210	No_transposon
12	32993	33370	internal.gene.body	ostta12g00210	No_transposon
12	80967	81303	internal.gene.body	ostta12g00530	No_transposon
12	80967	81137	internal.gene.body	ostta12g00530	No_transposon
12	164384	165315	internal.gene.body	ostta12g01020	No_transposon
12	164384	165315	internal.gene.body	ostta12g01020	No_transposon
12	191786	194695	TSS	ostta12g01210	No_transposon
12	191786	194691	TSS	ostta12g01210	No_transposon
12	206906	210114	internal.gene.body	ostta12g01270	No_transposon
12	206906	210114	internal.gene.body	ostta12g01270	No_transposon
12	271379	274593	TSS	ostta12g01720	No_transposon
12	271379	274593	TSS	ostta12g01720	No_transposon
12	291240	292220	intergenic		DNA_transposon
12	291171	292220	intergenic		DNA_transposon
12	314343	325421	TES	ostta12g01960	No_transposon
12	314343	325421	TES	ostta12g01960	No_transposon
12	326047	332731	internal.gene.body	ostta12g01965	No_transposon
12	326047	332731	internal.gene.body	ostta12g01965	No_transposon
12	333103	333395	internal.gene.body	ostta12g01965	No_transposon
12	333103	333395	internal.gene.body	ostta12g01965	No_transposon
12	355451	355675	internal.gene.body	ostta12g02110	No_transposon
12	355451	355675	internal.gene.body	ostta12g02110	No_transposon
12	393517	394007	internal.gene.body	ostta12g02360	No_transposon
12	393517	394007	internal.gene.body	ostta12g02360	No_transposon
12	394311	398688	gene.body	ostta12g02370	No_transposon
12	394311	398698	gene.body	ostta12g02370	No_transposon
12	429153	430913	gene.body	ostta12g02560	Unclassified_transposon
12	429141	430913	gene.body	ostta12g02560	Unclassified_transposon
12	505367	506727	TES	ostta12g03010	No_transposon
12	505367	506727	TES	ostta12g03010	No_transposon
12	515286	515507	internal.gene.body	ostta12g03070	No_transposon
12	515286	515507	internal.gene.body	ostta12g03070	No_transposon
12	537161	537674	TES	ostta12g03190	No_transposon
12	537161	537674	TES	ostta12g03190	No_transposon
12	540132	542477	TES	ostta12g03200	Unclassified_transposon
12	540167	542488	TES	ostta12g03200	Unclassified_transposon
13	177	1385	gene.body	ostta13g00010	Unclassified_transposon
13	179	1385	gene.body	ostta13g00010	Unclassified_transposon
13	18626	18838	internal.gene.body	ostta13g00120	No_transposon
13	18626	18838	internal.gene.body	ostta13g00120	No_transposon
13	19258	19686	internal.gene.body	ostta13g00120	No_transposon
13	19258	19686	internal.gene.body	ostta13g00120	No_transposon
13	119980	121088	gene.body	ostta13g00710	No_transposon
13	119974	121088	gene.body	ostta13g00710	No_transposon
13	190747	192833	TSS	ostta13g01130	No_transposon
13	190747	192851	TSS	ostta13g01130	No_transposon
13	214780	215380	intergenic		DNA_transposon
13	214532	215408	intergenic		DNA_transposon
13	227023	233702	TES	ostta13g01340	No_transposon
13	227023	233702	TES	ostta13g01340	No_transposon
13	301906	302145	intergenic		No_transposon
13	301919	302145	intergenic		No_transposon
13	302435	308877	gene.body	ostta13g01770	No_transposon
13	302435	308877	gene.body	ostta13g01770	No_transposon
13	479793	480066	internal.gene.body	ostta13g02720	No_transposon
13	479793	480066	internal.gene.body	ostta13g02720	No_transposon
13	480505	482664	TES	ostta13g02730	No_transposon
13	480505	482664	TES	ostta13g02730	No_transposon
13	547374	548380	internal.gene.body	ostta13g03080	No_transposon
13	547379	548380	internal.gene.body	ostta13g03080	No_transposon
14	128	729	intergenic		Unclassified_transposon
14	111	729	intergenic		Unclassified_transposon
14	1924	2141	internal.gene.body	ostta14g00020	No_transposon
14	1924	2141	internal.gene.body	ostta14g00020	No_transposon
14	9694	25560	gene.body	ostta14g00066,ostta14g00070,ostta14g00075	No_transposon
14	9694	25595	gene.body	ostta14g00066,ostta14g00070,ostta14g00075	No_transposon
14	63006	63913	TES	ostta14g00300	No_transposon
14	63006	63913	TES	ostta14g00300	No_transposon
14	180651	180943	internal.gene.body	ostta14g01050	No_transposon
14	180651	180943	internal.gene.body	ostta14g01050	No_transposon
14	239652	240375	internal.gene.body	ostta14g01380	No_transposon
14	239653	240375	internal.gene.body	ostta14g01380	No_transposon
14	248213	249053	internal.gene.body	ostta14g01410	No_transposon
14	248227	249053	internal.gene.body	ostta14g01410	No_transposon
14	278361	281323	gene.body	ostta14g01530	No_transposon
14	278361	281323	gene.body	ostta14g01530	No_transposon
14	318367	318575	TES	ostta14g01740	No_transposon
14	318367	318575	TES	ostta14g01740	No_transposon
14	318916	319122	internal.gene.body	ostta14g01740	No_transposon
14	318916	319122	internal.gene.body	ostta14g01740	No_transposon
14	322143	323475	TES	ostta14g01750	No_transposon
14	322143	323475	TES	ostta14g01750	No_transposon
14	326103	329738	gene.body	ostta14g01790	No_transposon
14	326103	329757	gene.body	ostta14g01790	No_transposon
14	349425	350993	TSS	ostta14g01910	No_transposon
14	349400	350993	TSS	ostta14g01910	No_transposon
14	377306	378867	gene.body	ostta14g02090	No_transposon
14	377295	378867	gene.body	ostta14g02090	No_transposon
14	395149	395533	internal.gene.body	ostta14g02190	Unclassified_transposon
14	395149	395533	internal.gene.body	ostta14g02190	Unclassified_transposon
14	399573	401966	TES	ostta14g02200	No_transposon
14	399573	401966	TES	ostta14g02200	No_transposon
14	444066	444476	internal.gene.body	ostta14g02490	No_transposon
14	444066	444476	internal.gene.body	ostta14g02490	No_transposon
14	459717	462502	internal.gene.body	ostta14g02600	No_transposon
14	459717	462502	internal.gene.body	ostta14g02600	No_transposon
14	492907	496520	TSS	ostta14g02780	No_transposon
14	492907	496520	TSS	ostta14g02780	No_transposon
14	531993	534734	gene.body	ostta14g03000	Unclassified_transposon
14	531981	534734	gene.body	ostta14g02990,ostta14g03000	Unclassified_transposon
15	46	766	TSS	ostta15g00010	No_transposon
15	46	766	TSS	ostta15g00010	No_transposon
15	33425	33622	internal.gene.body	ostta15g00195	No_transposon
15	33432	33633	internal.gene.body	ostta15g00195	No_transposon
15	66774	67143	TES	ostta15g00380	No_transposon
15	66774	67143	TES	ostta15g00380	No_transposon
15	146216	146652	internal.gene.body	ostta15g00810	No_transposon
15	146216	146652	internal.gene.body	ostta15g00810	No_transposon
15	186122	187973	internal.gene.body	ostta15g01070	No_transposon
15	186122	187973	internal.gene.body	ostta15g01070	No_transposon
15	222887	224973	gene.body	ostta15g01270	Unclassified_transposon
15	222887	224982	gene.body	ostta15g01270	Unclassified_transposon
15	245318	245566	TSS	ostta15g01430	No_transposon
15	245318	245566	TSS	ostta15g01430	No_transposon
15	263095	263495	internal.gene.body	ostta15g01520	No_transposon
15	263238	263495	internal.gene.body	ostta15g01520	No_transposon
15	266723	275306	internal.gene.body	ostta15g01520	No_transposon
15	266723	275306	internal.gene.body	ostta15g01520	No_transposon
15	299221	303336	gene.body	ostta15g01710	No_transposon
15	299221	303338	gene.body	ostta15g01710	No_transposon
15	303768	304111	TES	ostta15g01720	No_transposon
15	303768	304111	TES	ostta15g01720	No_transposon
15	304916	305296	internal.gene.body	ostta15g01730	No_transposon
15	304916	305296	internal.gene.body	ostta15g01730	No_transposon
15	309273	309676	internal.gene.body	ostta15g01740	No_transposon
15	309273	309676	internal.gene.body	ostta15g01740	No_transposon
15	396790	397082	internal.gene.body	ostta15g02330	No_transposon
15	396790	397082	internal.gene.body	ostta15g02330	No_transposon
15	446446	446739	intergenic		No_transposon
15	446446	446739	intergenic		No_transposon
15	471276	472160	gene.body	ostta15g02720	No_transposon
15	471276	472181	gene.body	ostta15g02720	No_transposon
16	309	4048	TSS	ostta16g00010	No_transposon
16	318	4048	TSS	ostta16g00010	No_transposon
16	16101	16499	TSS	ostta16g00130	No_transposon
16	15958	16499	TSS	ostta16g00130	No_transposon
16	16858	17220	TES	ostta16g00130	No_transposon
16	16816	17220	TES	ostta16g00130	No_transposon
16	69037	69628	TES	ostta16g00460	No_transposon
16	69037	69628	TES	ostta16g00460	No_transposon
16	72337	72582	internal.gene.body	ostta16g00480	No_transposon
16	72337	72623	internal.gene.body	ostta16g00480	No_transposon
16	75439	76702	TSS	ostta16g00510	No_transposon
16	75439	76702	TSS	ostta16g00510	No_transposon
16	79360	80047	internal.gene.body	ostta16g00520	No_transposon
16	79360	80047	internal.gene.body	ostta16g00520	No_transposon
16	138785	139706	TSS	ostta16g00900	No_transposon
16	138785	139706	TSS	ostta16g00900	No_transposon
16	140086	140354	internal.gene.body	ostta16g00910	No_transposon
16	140086	140354	internal.gene.body	ostta16g00910	No_transposon
16	162547	164090	gene.body	ostta16g01050	No_transposon
16	162547	164090	gene.body	ostta16g01050	No_transposon
16	171017	172922	gene.body	ostta16g01100	No_transposon
16	171002	172922	gene.body	ostta16g01100	No_transposon
16	175064	175382	intergenic		No_transposon
16	175064	175382	intergenic		No_transposon
16	176849	177053	intergenic		LTR_transposon
16	177889	179501	TES	ostta16g01140	No_transposon
16	177887	179501	TES	ostta16g01140	No_transposon
16	188118	193116	gene.body	ostta16g01200,ostta16g01210	No_transposon
16	188122	193116	gene.body	ostta16g01200,ostta16g01210	No_transposon
16	207527	209507	TSS	ostta16g01295	No_transposon
16	207527	209507	TSS	ostta16g01295	No_transposon
16	224059	224329	intergenic		Unclassified_transposon
16	225603	226985	TES	ostta16g01360	Unclassified_transposon
16	225603	226985	TES	ostta16g01360	Unclassified_transposon
16	236071	239204	internal.gene.body	ostta16g01420	No_transposon
16	236071	239204	internal.gene.body	ostta16g01420	No_transposon
16	268409	268579	internal.gene.body	ostta16g01580	No_transposon
16	286313	288846	gene.body	ostta16g01635	No_transposon
16	286263	288846	gene.body	ostta16g01635	No_transposon
16	297999	298435	internal.gene.body	ostta16g01710	No_transposon
16	298302	298435	internal.gene.body	ostta16g01710	No_transposon
16	300516	300752	internal.gene.body	ostta16g01710	No_transposon
16	300516	300752	internal.gene.body	ostta16g01710	No_transposon
16	401306	401728	internal.gene.body	ostta16g02130	No_transposon
16	401306	401728	internal.gene.body	ostta16g02130	No_transposon
16	402032	406324	internal.gene.body	ostta16g02130	No_transposon
16	402032	406324	internal.gene.body	ostta16g02130	No_transposon
16	413729	416198	TSS	ostta16g02170	No_transposon
16	413729	416192	TSS	ostta16g02170	No_transposon
16	417778	419226	TSS	ostta16g02180	Unclassified_transposon
16	417759	419223	TSS	ostta16g02180	Unclassified_transposon
16	420104	420993	internal.gene.body	ostta16g02190	No_transposon
16	420104	420993	internal.gene.body	ostta16g02190	No_transposon
16	470485	472609	gene.body	ostta16g02460	No_transposon
16	470485	472609	gene.body	ostta16g02460	No_transposon
16	482182	484426	TES	ostta16g02510	No_transposon
16	482182	484433	TES	ostta16g02510	No_transposon
16	526044	528281	gene.body	ostta16g02730	Unclassified_transposon
16	525870	528281	gene.body	ostta16g02730	Unclassified_transposon
17	195	2214	TES	ostta17g00010	No_transposon
17	190	2214	TES	ostta17g00010	No_transposon
17	5960	6198	internal.gene.body	ostta17g00030	No_transposon
17	5960	6291	internal.gene.body	ostta17g00030	No_transposon
17	30134	37889	gene.body	ostta17g00190,ostta17g00200	Unclassified_transposon
17	30134	37889	gene.body	ostta17g00190,ostta17g00200	Unclassified_transposon
17	39715	40234	TSS	ostta17g00220	No_transposon
17	39715	40234	TSS	ostta17g00220	No_transposon
17	53037	54510	TSS	ostta17g00300	No_transposon
17	53037	54510	TSS	ostta17g00300	No_transposon
17	65909	66312	internal.gene.body	ostta17g00370	Unclassified_transposon
17	65909	66312	internal.gene.body	ostta17g00370	Unclassified_transposon
17	79090	79963	TES	ostta17g00450	No_transposon
17	79090	79963	TES	ostta17g00450	No_transposon
17	135326	136626	TSS	ostta17g00790	No_transposon
17	135326	136626	TSS	ostta17g00790	No_transposon
17	139168	140158	gene.body	ostta17g00800	No_transposon
17	139177	140142	gene.body	ostta17g00800	No_transposon
17	222983	223923	internal.gene.body	ostta17g01380	No_transposon
17	222983	223923	internal.gene.body	ostta17g01380	No_transposon
17	313151	313450	internal.gene.body	ostta17g01895	No_transposon
17	313151	313450	internal.gene.body	ostta17g01895	No_transposon
17	317127	317632	internal.gene.body	ostta17g01910	No_transposon
17	317127	317632	internal.gene.body	ostta17g01910	No_transposon
17	356477	357581	TES	ostta17g02090	No_transposon
17	356477	357581	TES	ostta17g02090	No_transposon
17	408864	410823	TES	ostta17g02410	Unclassified_transposon
17	408864	410853	TES	ostta17g02410	Unclassified_transposon
18	790	2856	gene.body	ostta18g00010	Unclassified_transposon
18	790	2856	gene.body	ostta18g00010	Unclassified_transposon
18	12390	13837	internal.gene.body	ostta18g00080	No_transposon
18	12390	13837	internal.gene.body	ostta18g00080	No_transposon
18	134971	135246	internal.gene.body	ostta18g00700	No_transposon
18	134957	135246	internal.gene.body	ostta18g00700	No_transposon
18	135777	135966	internal.gene.body	ostta18g00700	No_transposon
18	135777	135982	internal.gene.body	ostta18g00700	No_transposon
18	161242	162392	gene.body	ostta18g00870	No_transposon
18	161242	162392	gene.body	ostta18g00870	No_transposon
18	163536	167760	gene.body	ostta18g00890	No_transposon
18	163536	167760	gene.body	ostta18g00890	No_transposon
18	189626	192204	TES	ostta18g01030	No_transposon
18	189626	192294	gene.body	ostta18g01040	No_transposon
18	196767	197323	internal.gene.body	ostta18g01070	No_transposon
18	196752	197323	internal.gene.body	ostta18g01070	No_transposon
18	202251	203572	TES	ostta18g01100	No_transposon
18	202251	203572	TES	ostta18g01100	No_transposon
18	209354	211951	gene.body	ostta18g01140	No_transposon
18	209354	211951	gene.body	ostta18g01140	No_transposon
18	219192	221040	internal.gene.body	ostta18g01200	No_transposon
18	219192	221040	internal.gene.body	ostta18g01200	No_transposon
18	343931	345567	TES	ostta18g01980	No_transposon
18	343931	345563	TES	ostta18g01980	No_transposon
19	0	42803	gene.body	ostta19g00010,ostta19g00020,ostta19g00030,ostta19g00040,ostta19g00050,ostta19g00070,ostta19g00080,ostta19g00090,ostta19g00100,ostta19g00110,ostta19g00120,ostta19g00130,ostta19g00140,ostta19g00150,ostta19g00160,ostta19g00165	DNA_transposon
19	0	42809	gene.body	ostta19g00010,ostta19g00020,ostta19g00030,ostta19g00040,ostta19g00050,ostta19g00070,ostta19g00080,ostta19g00090,ostta19g00100,ostta19g00110,ostta19g00120,ostta19g00130,ostta19g00140,ostta19g00150,ostta19g00160,ostta19g00165	DNA_transposon
19	46514	48410	gene.body	ostta19g00190	No_transposon
19	46511	48411	gene.body	ostta19g00190	No_transposon
19	84398	84974	internal.gene.body	ostta19g00320	No_transposon
19	84398	84972	internal.gene.body	ostta19g00320	No_transposon
19	96784	97432	intergenic		No_transposon
19	96796	97479	intergenic		No_transposon
19	97950	98567	TSS	ostta19g00400	No_transposon
19	97950	98564	TSS	ostta19g00400	No_transposon
19	106300	106782	TSS	ostta19g00430	No_transposon
19	106307	107069	TSS	ostta19g00430	No_transposon
19	112707	112935	internal.gene.body	ostta19g00470	No_transposon
19	117800	118430	TES	ostta19g00480	No_transposon
19	117800	118430	TES	ostta19g00480	No_transposon
19	118830	119541	internal.gene.body	ostta19g00490	No_transposon
19	118827	119532	internal.gene.body	ostta19g00490	No_transposon
19	125059	127412	internal.gene.body	ostta19g00515	No_transposon
19	125045	127412	internal.gene.body	ostta19g00515	No_transposon
19	132008	132217	intergenic		Unclassified_transposon
19	132000	132222	intergenic		Unclassified_transposon
19	133320	185218	gene.body	ostta19g00045,ostta19g00075,ostta19g00555,ostta19g00560,ostta19g00570,ostta19g00580,ostta19g00590,ostta19g00600,ostta19g00610,ostta19g00620,ostta19g00630,ostta19g00640,ostta19g00650,ostta19g00660,ostta19g00670	DNA_transposon
19	133320	185217	gene.body	ostta19g00045,ostta19g00075,ostta19g00555,ostta19g00560,ostta19g00570,ostta19g00580,ostta19g00590,ostta19g00600,ostta19g00610,ostta19g00620,ostta19g00630,ostta19g00640,ostta19g00650,ostta19g00660,ostta19g00670	DNA_transposon
2	229	433	intergenic		No_transposon
2	2387	5120	gene.body	ostta02g00020	Unclassified_transposon
2	2387	5120	gene.body	ostta02g00020	Unclassified_transposon
2	7015	10261	gene.body	ostta02g00037	Unclassified_transposon
2	6991	10264	gene.body	ostta02g00037	Unclassified_transposon
2	13571	13802	intergenic		Unclassified_transposon
2	13566	13803	intergenic		Unclassified_transposon
2	14426	14962	internal.gene.body	ostta02g00050	No_transposon
2	14413	14962	internal.gene.body	ostta02g00050	No_transposon
2	19313	19563	internal.gene.body	ostta02g00085	No_transposon
2	19308	19568	internal.gene.body	ostta02g00085	No_transposon
2	29865	30212	intergenic		Unclassified_transposon
2	29864	30212	intergenic		Unclassified_transposon
2	32107	32347	internal.gene.body	ostta02g00160	Unclassified_transposon
2	36966	37211	internal.gene.body	ostta02g00160	No_transposon
2	36966	37220	internal.gene.body	ostta02g00160	No_transposon
2	41323	41401	internal.gene.body	ostta02g00160	No_transposon
2	41323	41565	internal.gene.body	ostta02g00160	No_transposon
2	42405	42789	internal.gene.body	ostta02g00160	Unclassified_transposon
2	42439	42789	internal.gene.body	ostta02g00160	Unclassified_transposon
2	71601	77179	gene.body	ostta02g00275,ostta02g00277	Unclassified_transposon
2	71605	77179	gene.body	ostta02g00275,ostta02g00277	Unclassified_transposon
2	112761	113249	TSS	ostta02g00450	No_transposon
2	112767	113229	TSS	ostta02g00450	No_transposon
2	158418	160934	internal.gene.body	ostta02g00700	No_transposon
2	158453	160934	internal.gene.body	ostta02g00700	No_transposon
2	161679	165840	internal.gene.body	ostta02g00710,ostta02g00720	Unclassified_transposon
2	161665	165840	internal.gene.body	ostta02g00710,ostta02g00720	Unclassified_transposon
2	166770	167963	internal.gene.body	ostta02g00710,ostta02g00720	Unclassified_transposon
2	166770	167963	internal.gene.body	ostta02g00710,ostta02g00720	Unclassified_transposon
2	171871	176753	TSS	ostta02g00710,ostta02g00720	Unclassified_transposon
2	171871	176753	TSS	ostta02g00710,ostta02g00720	Unclassified_transposon
2	182432	183718	internal.gene.body	ostta02g00770	No_transposon
2	182432	183718	internal.gene.body	ostta02g00770	No_transposon
2	193198	210705	internal.gene.body	ostta02g00800	Unclassified_transposon
2	193234	210705	internal.gene.body	ostta02g00800	Unclassified_transposon
2	220859	222584	internal.gene.body	ostta02g00800	No_transposon
2	220859	222601	internal.gene.body	ostta02g00800	No_transposon
2	237894	238913	TES	ostta02g00900	No_transposon
2	237823	238913	TES	ostta02g00900	No_transposon
2	304864	305894	internal.gene.body	ostta02g01245	DNA_transposon
2	304836	305895	internal.gene.body	ostta02g01245	DNA_transposon
2	308052	308470	internal.gene.body	ostta02g01247	DNA_transposon
2	307923	308464	internal.gene.body	ostta02g01247	DNA_transposon
2	351716	352156	internal.gene.body	ostta02g01560	No_transposon
2	351731	352173	internal.gene.body	ostta02g01560	No_transposon
2	355593	356260	intergenic		DNA_transposon
2	355577	356266	intergenic		DNA_transposon
2	387683	388676	intergenic		Unclassified_transposon
2	387674	388666	intergenic		Unclassified_transposon
2	402880	403185	internal.gene.body	ostta02g01900	No_transposon
2	402880	403185	internal.gene.body	ostta02g01900	No_transposon
2	515870	516064	intergenic		Unclassified_transposon
2	520808	521063	intergenic		Unclassified_transposon
2	520803	521062	intergenic		Unclassified_transposon
2	536156	539438	gene.body	ostta02g02615	Unclassified_transposon
2	536156	539515	gene.body	ostta02g02615	Unclassified_transposon
2	548187	548389	intergenic		Unclassified_transposon
2	556184	556536	TSS	ostta02g02715	No_transposon
2	556172	556547	TSS	ostta02g02715	No_transposon
2	605135	607437	gene.body	ostta02g03030	No_transposon
2	605153	607437	gene.body	ostta02g03030	No_transposon
2	636561	637336	internal.gene.body	ostta02g03250	No_transposon
2	636561	637323	internal.gene.body	ostta02g03250	No_transposon
2	657341	657543	internal.gene.body	ostta02g03370	No_transposon
2	657341	657543	internal.gene.body	ostta02g03370	No_transposon
2	691175	691418	internal.gene.body	ostta02g03520	No_transposon
2	691175	691418	internal.gene.body	ostta02g03520	No_transposon
2	709539	710220	internal.gene.body	ostta02g03610	No_transposon
2	709539	710220	internal.gene.body	ostta02g03610	No_transposon
2	715522	715891	internal.gene.body	ostta02g03630	No_transposon
2	715522	715891	internal.gene.body	ostta02g03630	No_transposon
2	762478	765460	internal.gene.body	ostta02g03910	No_transposon
2	762478	765460	internal.gene.body	ostta02g03910	No_transposon
2	765843	766157	internal.gene.body	ostta02g03910	No_transposon
2	765843	766177	internal.gene.body	ostta02g03910	No_transposon
2	800867	802892	TES	ostta02g04090	No_transposon
2	800867	802892	TES	ostta02g04090	No_transposon
2	804124	807293	gene.body	ostta02g04110	No_transposon
