chr	start	end	peak.annotation.26.20.k27	activated.genes.26.20.k27
2	998587	998866	internal.gene.body	ostta02g05100
16	75472	77098	gene.body	ostta16g00510
16	293163	294072	TSS	ostta16g01680
2	708795	711040	internal.gene.body	ostta02g03610
1	1040736	1041851	internal.gene.body	ostta01g06360
8	18261	20602	gene.body	ostta08g00090
2	761380	761654	internal.gene.body	ostta02g03910
3	884370	886659	gene.body	ostta03g05330
16	67876	69563	TES	ostta16g00460
3	499606	499753	internal.gene.body	ostta03g03030
16	417751	419242	TSS	ostta16g02180
2	136484	136642	intergenic	
17	316700	317946	internal.gene.body	ostta17g01910
7	296908	297879	internal.gene.body	ostta07g01910
12	164046	165465	internal.gene.body	ostta12g01020
2	181932	184202	gene.body	ostta02g00770
11	348243	351607	internal.gene.body	ostta11g01840
2	187763	189091	internal.gene.body	ostta02g00800
19	110061	110436	intergenic	
2	515779	516073	intergenic	
15	451329	452533	internal.gene.body	ostta15g02570,ostta15g02580
4	724003	726135	TES	ostta04g04250
9	150101	150208	internal.gene.body	ostta09g01040
4	623377	624415	internal.gene.body	ostta04g03540
2	536092	539554	gene.body	ostta02g02615
2	592314	592510	internal.gene.body	ostta02g02970
7	519496	522042	gene.body	ostta07g03240,ostta07g03250
14	131257	132701	internal.gene.body	ostta14g00770
4	302705	304627	internal.gene.body	ostta04g01770
9	557529	559288	internal.gene.body	ostta09g03600
2	605107	607880	gene.body	ostta02g03030,ostta02g03040
6	8	4060	gene.body	ostta06g00010
2	636465	637407	internal.gene.body	ostta02g03250
7	620387	622936	TES	ostta07g03810
6	200476	200972	TSS	ostta06g01230
5	9	615	TES	ostta05g00010
3	447263	447678	internal.gene.body	ostta03g02800
19	95680	96100	internal.gene.body	ostta19g00395
11	172220	173258	internal.gene.body	ostta11g00890
10	40677	42642	TES	ostta10g00170
2	800532	802896	TES	ostta02g04090
1	431108	434411	TES	ostta01g02760
8	697370	698886	gene.body	ostta08g04190
2	690367	691533	internal.gene.body	ostta02g03520
20	131083	133600	TES	ostta20g00750
17	4826	5242	internal.gene.body	ostta17g00025
9	702280	704525	gene.body	ostta09g04460,ostta09g04470
4	340137	341333	gene.body	ostta04g01950
6	472404	475660	internal.gene.body	ostta06g02800
8	241680	244714	internal.gene.body	ostta08g01380
7	716350	719138	internal.gene.body	ostta07g04410
14	248014	250116	internal.gene.body	ostta14g01410
