chr	start	end	peak.annotation.26.10	activated.genes.26.10
7	271641	272047	internal.gene.body	ostta07g01770
3	395967	398422	gene.body	ostta03g02430,ostta03g02440
10	247049	248646	TES	ostta10g01540
12	5	1246	TES	ostta12g00010
2	400486	400968	internal.gene.body	ostta02g01880
7	513103	518493	gene.body	ostta07g03220
14	331710	332378	internal.gene.body	ostta14g01810
9	503948	505007	TSS	ostta09g03290
5	319702	322921	internal.gene.body	ostta05g02060
16	419837	420604	internal.gene.body	ostta16g02190
14	536272	537126	TES	ostta14g03020
17	139172	140197	gene.body	ostta17g00800
2	1066823	1071226	TES	ostta02g05530
15	298959	303326	gene.body	ostta15g01710
11	172220	173258	internal.gene.body	ostta11g00890
3	884370	886659	gene.body	ostta03g05330
7	747883	748944	TES	ostta07g04600
2	636465	637407	internal.gene.body	ostta02g03250
10	339117	342520	internal.gene.body	ostta10g02060
4	349739	351378	TES	ostta04g01990
8	2	1825	TES	ostta08g00010
2	605107	607880	gene.body	ostta02g03030,ostta02g03040
6	53981	57184	gene.body	ostta06g00330
7	123917	124591	internal.gene.body	ostta07g00810
15	451329	452533	internal.gene.body	ostta15g02570,ostta15g02580
6	414623	415743	internal.gene.body	ostta06g02500
16	19294	19968	internal.gene.body	ostta16g00140
18	26185	26677	TES	ostta18g00180
11	348243	351607	internal.gene.body	ostta11g01840
2	179938	180085	intergenic	
7	519496	522042	gene.body	ostta07g03240,ostta07g03250
1	252030	253254	internal.gene.body	ostta01g01610
16	177815	180995	gene.body	ostta16g01140
6	120746	122569	TES	ostta06g00760
6	506424	508972	internal.gene.body	ostta06g03030
4	770411	771259	TES	ostta04g04580
8	639894	641397	gene.body	ostta08g03810
2	761380	761654	internal.gene.body	ostta02g03910
5	722320	723722	TSS	ostta05g04365
13	18401	20344	internal.gene.body	ostta13g00120
11	441094	443241	gene.body	ostta11g02420
6	786038	787979	TES	ostta06g04570
