"V1" "V2" "V3"
"4296" "ostta02g03900" "AT5G23535.2" 1.52e-31
"4297" "ostta02g03910" "AT5G55400.3" 1.1
"4323" "ostta02g04100" "AT3G08840.2" 1.73e-26
"4324" "ostta02g04110" "AT4G23950.1" 4.5
"4358" "ostta02g04410" "AT4G27180.2" 2.1
"4383" "ostta02g04650" "AT3G44890.1" 4.11e-22
"4431" "ostta02g05030" "AT3G16010.1" 2.34e-36
"4432" "ostta02g05030" "AT3G16010.1" 3.9e-17
"4433" "ostta02g05030" "AT3G16010.1" 1.24e-12
"4434" "ostta02g05030" "AT3G16010.1" 6.36e-09
"4435" "ostta02g05030" "AT3G16010.1" 4.77e-05
"4444" "ostta02g05090" "AT3G15930.1" 0.23
"4445" "ostta02g05100" "AT3G21300.1" 0.09
"4484" "ostta02g05420" "AT3G49710.1" 3.4
"4490" "ostta02g05480" "AT5G13510.1" 8.36e-26
"4498" "ostta02g05540" "AT3G03260.1" 0.26
"4506" "ostta20g00030" "AT2G30200.1" 1.89e-70
"4555" "ostta20g00510" "AT5G22140.1" 6.18e-29
"4836" "ostta03g01910" "AT1G17530.2" 1.39e-33
"4867" "ostta03g02220" "AT5G57390.2" 3.4e-59
"4891" "ostta03g02430" "AT5G19680.1" 0.000145
"4931" "ostta03g02750" "AT1G66810.3" 1.69e-25
"4932" "ostta03g02750" "AT1G66810.3" 0.13
"4933" "ostta03g02750" "AT1G66810.3" 0.31
"5225" "ostta03g05330" "AT2G21860.1" 0.000867
"5389" "ostta04g00690" "AT1G23740.1" 3.94e-09
"5514" "ostta04g01770" "AT4G19610.1" 0
"5515" "ostta04g01770" "AT4G19610.1" 1.34e-05
"5516" "ostta04g01770" "AT4G19610.1" 0.4
"5546" "ostta04g01995" "AT5G56660.1" 1.57e-95
"5721" "ostta04g03490" "AT5G16850.1" 5.35e-79
"5802" "ostta04g04250" "AT5G54240.1" 1.1
"5836" "ostta04g04580" "AT4G33270.1" 9.09e-164
"5924" "ostta04g05370" "AT1G22930.2" 1.51e-25
"6183" "ostta05g02060" "AT2G43770.1" 7.48e-07
"6417" "ostta05g04080" "AT4G18465.1" 0
"6448" "ostta05g04365" "AT4G26630.2" 1.9
"6513" "ostta05g04970" "AT3G62600.1" 0.008
"6558" "ostta06g00330" "AT3G18524.1" 2.71e-49
"6607" "ostta06g00740" "AT3G62770.1" 1.82e-112
"6641" "ostta06g01110" "AT1G72570.1" 5.5e-12
"6642" "ostta06g01110" "AT1G72570.1" 0.002
"6659" "ostta06g01270" "AT1G68210.1" 0.48
"6800" "ostta06g02500" "AT3G12300.1" 2.33e-05
"6838" "ostta06g02800" "AT1G58060.1" 0
"6862" "ostta06g03040" "AT5G51200.2" 8.53e-66
"6955" "ostta06g03880" "AT2G17640.1" 6.27e-07
"6998" "ostta06g04260" "AT1G20450.1" 2.4
"7035" "ostta06g04580" "AT5G59250.1" 7.66e-52
"7128" "ostta07g00810" "AT1G80090.1" 0.099
"7143" "ostta07g00900" "AT2G24700.1" 3.6
"7252" "ostta07g01780" "AT3G10405.1" 1.5e-20
"7266" "ostta07g01910" "AT3G06270.1" 3.36e-50
"7406" "ostta07g03220" "AT4G23540.1" 5
"7408" "ostta07g03240" "AT1G77550.1" 1.21e-10
"7441" "ostta07g03550" "AT1G55880.1" 2.61e-44
"7470" "ostta07g03790" "AT4G03150.1" 4.4
"7497" "ostta07g04030" "AT1G54460.1" 2.3
"7533" "ostta07g04340" "AT1G13960.2" 2e-14
"7534" "ostta07g04340" "AT1G13960.2" 3.42e-07
"7545" "ostta07g04430" "AT5G02310.2" 0.15
"7564" "ostta07g04610" "AT2G18850.1" 1.3e-17
"7586" "ostta08g00010" "AT2G14720.2" 1.04e-156
"7592" "ostta08g00090" "AT3G57480.2" 5.7
"7743" "ostta08g01520" "AT4G19120.2" 5.2
"7782" "ostta08g01880" "AT5G58620.1" 0.000622
"7819" "ostta08g02190" "AT2G38470.1" 1.21e-11
"7820" "ostta08g02190" "AT2G38470.1" 6.52e-07
"8005" "ostta08g03810" "AT2G26070.1" 3.8
"8046" "ostta08g04190" "AT3G49660.1" 1.39e-20
"8047" "ostta08g04190" "AT3G49660.1" 3.47e-13
"8048" "ostta08g04190" "AT3G49660.1" 1.93e-09
"8049" "ostta08g04190" "AT3G49660.1" 0.000517
"8064" "ostta09g00010" "AT1G66720.1" 1.7
"8186" "ostta09g01060" "AT4G38430.1" 7
"8242" "ostta09g01615" "AT3G55100.2" 3.41e-56
"8264" "ostta09g01830" "AT2G25870.1" 2.06e-26
"8351" "ostta09g02610" "AT3G23810.1" 0
"8426" "ostta09g03290" "AT2G31720.1" 0.71
"8435" "ostta09g03390" "AT2G18900.1" 0.31
"8462" "ostta09g03600" "AT4G19710.2" 0
"8567" "ostta09g04520" "AT1G69210.2" 0.51
