"V1"	"V2"
"66"	"ostta16g00150"	"AT1G19250.1"
"67"	"ostta16g00470"	"AT3G55040.1"
"68"	"ostta16g00510"	"AT5G24750.1"
"69"	"ostta16g01050"	"AT5G40440.5"
"70"	"ostta16g01140"	"AT2G18900.1"
"71"	"ostta16g01360"	"AT3G10730.1"
"72"	"ostta16g01410"	"AT3G09630.2"
"73"	"ostta16g01635"	"AT4G17860.1"
"74"	"ostta16g01680"	"AT3G54010.1"
"75"	"ostta16g02160"	"AT2G10450.1"
"76"	"ostta16g02180"	"AT4G21090.3"
"77"	"ostta16g02190"	"AT2G48020.4"
"78"	"ostta17g00300"	"AT3G45770.1"
"79"	"ostta17g00370"	"AT1G66440.1"
"80"	"ostta17g00370"	"AT1G66440.1"
"81"	"ostta17g00370"	"AT1G66440.1"
"82"	"ostta17g00370"	"AT1G66440.1"
"83"	"ostta17g00460"	"AT2G03430.1"
"84"	"ostta17g00460"	"AT2G03430.1"
"85"	"ostta17g00460"	"AT2G03430.1"
"86"	"ostta17g00800"	"AT1G53540.1"
"87"	"ostta17g01920"	"AT3G54110.1"
"88"	"ostta17g02100"	"AT1G56590.1"
"89"	"ostta18g00180"	"AT3G05210.1"
"90"	"ostta18g00870"	"AT1G02640.1"
"91"	"ostta18g00970"	"AT5G20320.3"
"92"	"ostta18g01040"	"AT3G16060.1"
"93"	"ostta18g01200"	"AT1G18160.1"
"94"	"ostta18g01980"	"AT5G51870.5"
"95"	"ostta02g00050"	"AT1G64790.3"
"96"	"ostta02g00460"	"AT5G01920.2"
"97"	"ostta02g00700"	"AT1G28170.1"
"98"	"ostta02g00710"	"AT5G46290.3"
"99"	"ostta02g00710"	"AT5G46290.3"
"100"	"ostta02g00710"	"AT5G46290.3"
"101"	"ostta02g00740"	"AT5G06240.1"
"102"	"ostta02g00790"	"AT1G05520.1"
"103"	"ostta02g00900"	"AT3G25660.1"
"104"	"ostta02g01020"	"AT5G42020.1"
"105"	"ostta02g01247"	"AT1G61470.1"
"106"	"ostta02g01320"	"AT5G49910.1"
"107"	"ostta02g01880"	"AT5G60070.1"
"108"	"ostta02g02970"	"AT2G22300.2"
"109"	"ostta02g03020"	"AT3G59500.2"
"110"	"ostta02g03260"	"AT3G11510.1"
"111"	"ostta02g03370"	"AT3G08730.2"
"112"	"ostta02g03610"	"AT3G57060.3"
"113"	"ostta02g03630"	"AT1G72320.3"
"114"	"ostta02g03900"	"AT5G23535.2"
"115"	"ostta02g03910"	"AT5G55400.3"
"116"	"ostta02g04100"	"AT3G08840.2"
"117"	"ostta02g04110"	"AT4G23950.1"
"118"	"ostta02g04410"	"AT4G27180.2"
"119"	"ostta02g04650"	"AT3G44890.1"
"120"	"ostta02g05030"	"AT3G16010.1"
"121"	"ostta02g05030"	"AT3G16010.1"
"122"	"ostta02g05030"	"AT3G16010.1"
"123"	"ostta02g05030"	"AT3G16010.1"
"124"	"ostta02g05030"	"AT3G16010.1"
"125"	"ostta02g05090"	"AT3G15930.1"
"126"	"ostta02g05100"	"AT3G21300.1"
"127"	"ostta02g05420"	"AT3G49710.1"
"128"	"ostta02g05480"	"AT5G13510.1"
"129"	"ostta02g05540"	"AT3G03260.1"
"130"	"ostta20g00030"	"AT2G30200.1"
"131"	"ostta20g00510"	"AT5G22140.1"
"132"	"ostta03g01910"	"AT1G17530.2"
"133"	"ostta03g02220"	"AT5G57390.2"
"134"	"ostta03g02430"	"AT5G19680.1"
"135"	"ostta03g02750"	"AT1G66810.3"
"136"	"ostta03g02750"	"AT1G66810.3"
"137"	"ostta03g02750"	"AT1G66810.3"
"138"	"ostta03g05330"	"AT2G21860.1"
"139"	"ostta04g00690"	"AT1G23740.1"
"140"	"ostta04g01770"	"AT4G19610.1"
"141"	"ostta04g01770"	"AT4G19610.1"
"142"	"ostta04g01770"	"AT4G19610.1"
"143"	"ostta04g01995"	"AT5G56660.1"
"144"	"ostta04g03490"	"AT5G16850.1"
"145"	"ostta04g04250"	"AT5G54240.1"
"146"	"ostta04g04580"	"AT4G33270.1"
"147"	"ostta04g05370"	"AT1G22930.2"
"148"	"ostta05g02060"	"AT2G43770.1"
"149"	"ostta05g04080"	"AT4G18465.1"
"150"	"ostta05g04365"	"AT4G26630.2"
"151"	"ostta05g04970"	"AT3G62600.1"
"152"	"ostta06g00330"	"AT3G18524.1"
"153"	"ostta06g00740"	"AT3G62770.1"
"154"	"ostta06g01110"	"AT1G72570.1"
"155"	"ostta06g01110"	"AT1G72570.1"
"156"	"ostta06g01270"	"AT1G68210.1"
"157"	"ostta06g02500"	"AT3G12300.1"
"158"	"ostta06g02800"	"AT1G58060.1"
"159"	"ostta06g03040"	"AT5G51200.2"
"160"	"ostta06g03880"	"AT2G17640.1"
"161"	"ostta06g04260"	"AT1G20450.1"
"162"	"ostta06g04580"	"AT5G59250.1"
"163"	"ostta07g00810"	"AT1G80090.1"
"164"	"ostta07g00900"	"AT2G24700.1"
"165"	"ostta07g01780"	"AT3G10405.1"
"166"	"ostta07g01910"	"AT3G06270.1"
"167"	"ostta07g03220"	"AT4G23540.1"
"168"	"ostta07g03240"	"AT1G77550.1"
"169"	"ostta07g03550"	"AT1G55880.1"
"170"	"ostta07g03790"	"AT4G03150.1"
"171"	"ostta07g04030"	"AT1G54460.1"
"172"	"ostta07g04340"	"AT1G13960.2"
"173"	"ostta07g04340"	"AT1G13960.2"
"174"	"ostta07g04430"	"AT5G02310.2"
"175"	"ostta07g04610"	"AT2G18850.1"
"176"	"ostta08g00010"	"AT2G14720.2"
"177"	"ostta08g00090"	"AT3G57480.2"
"178"	"ostta08g01520"	"AT4G19120.2"
"179"	"ostta08g01880"	"AT5G58620.1"
"180"	"ostta08g02190"	"AT2G38470.1"
"181"	"ostta08g02190"	"AT2G38470.1"
"182"	"ostta08g03810"	"AT2G26070.1"
"183"	"ostta08g04190"	"AT3G49660.1"
"184"	"ostta08g04190"	"AT3G49660.1"
"185"	"ostta08g04190"	"AT3G49660.1"
"186"	"ostta08g04190"	"AT3G49660.1"
"187"	"ostta09g00010"	"AT1G66720.1"
"188"	"ostta09g01060"	"AT4G38430.1"
"189"	"ostta09g01615"	"AT3G55100.2"
"190"	"ostta09g01830"	"AT2G25870.1"
"191"	"ostta09g02610"	"AT3G23810.1"
"192"	"ostta09g03290"	"AT2G31720.1"
"193"	"ostta09g03390"	"AT2G18900.1"
"194"	"ostta09g03600"	"AT4G19710.2"
"195"	"ostta09g04520"	"AT1G69210.2"
