chr	start	end	peak.annotation	target.genes
14	326103	329738	gene.body	ostta14g01790
14	326103	329757	gene.body	ostta14g01790
14	349425	350993	TSS	ostta14g01910
14	349400	350993	TSS	ostta14g01910
14	377306	378867	gene.body	ostta14g02090
14	377295	378867	gene.body	ostta14g02090
14	395149	395533	internal.gene.body	ostta14g02190
14	395149	395533	internal.gene.body	ostta14g02190
14	399573	401966	TES	ostta14g02200
14	399573	401966	TES	ostta14g02200
14	444066	444476	internal.gene.body	ostta14g02490
14	444066	444476	internal.gene.body	ostta14g02490
14	459717	462502	internal.gene.body	ostta14g02600
14	459717	462502	internal.gene.body	ostta14g02600
14	492907	496520	TSS	ostta14g02780
14	492907	496520	TSS	ostta14g02780
14	531993	534734	gene.body	ostta14g03000
14	531981	534734	gene.body	ostta14g02990,ostta14g03000
15	46	766	TSS	ostta15g00010
15	46	766	TSS	ostta15g00010
15	33425	33622	internal.gene.body	ostta15g00195
15	33432	33633	internal.gene.body	ostta15g00195
15	66774	67143	TES	ostta15g00380
15	66774	67143	TES	ostta15g00380
15	146216	146652	internal.gene.body	ostta15g00810
15	146216	146652	internal.gene.body	ostta15g00810
15	186122	187973	internal.gene.body	ostta15g01070
15	186122	187973	internal.gene.body	ostta15g01070
15	222887	224973	gene.body	ostta15g01270
15	222887	224982	gene.body	ostta15g01270
15	245318	245566	TSS	ostta15g01430
15	245318	245566	TSS	ostta15g01430
15	263095	263495	internal.gene.body	ostta15g01520
15	263238	263495	internal.gene.body	ostta15g01520
15	266723	275306	internal.gene.body	ostta15g01520
15	266723	275306	internal.gene.body	ostta15g01520
15	299221	303336	gene.body	ostta15g01710
15	299221	303338	gene.body	ostta15g01710
15	303768	304111	TES	ostta15g01720
15	303768	304111	TES	ostta15g01720
15	304916	305296	internal.gene.body	ostta15g01730
15	304916	305296	internal.gene.body	ostta15g01730
15	309273	309676	internal.gene.body	ostta15g01740
15	309273	309676	internal.gene.body	ostta15g01740
15	396790	397082	internal.gene.body	ostta15g02330
15	396790	397082	internal.gene.body	ostta15g02330
15	446446	446739	intergenic	
15	446446	446739	intergenic	
15	471276	472160	gene.body	ostta15g02720
15	471276	472181	gene.body	ostta15g02720
16	309	4048	TSS	ostta16g00010
16	318	4048	TSS	ostta16g00010
16	16101	16499	TSS	ostta16g00130
16	15958	16499	TSS	ostta16g00130
16	16858	17220	TES	ostta16g00130
16	16816	17220	TES	ostta16g00130
16	69037	69628	TES	ostta16g00460
16	69037	69628	TES	ostta16g00460
16	72337	72582	internal.gene.body	ostta16g00480
16	72337	72623	internal.gene.body	ostta16g00480
16	75439	76702	TSS	ostta16g00510
16	75439	76702	TSS	ostta16g00510
16	79360	80047	internal.gene.body	ostta16g00520
16	79360	80047	internal.gene.body	ostta16g00520
16	138785	139706	TSS	ostta16g00900
16	138785	139706	TSS	ostta16g00900
16	140086	140354	internal.gene.body	ostta16g00910
16	140086	140354	internal.gene.body	ostta16g00910
16	162547	164090	gene.body	ostta16g01050
16	162547	164090	gene.body	ostta16g01050
16	171017	172922	gene.body	ostta16g01100
16	171002	172922	gene.body	ostta16g01100
16	175064	175382	intergenic	
16	175064	175382	intergenic	
16	176849	177053	intergenic	
16	177889	179501	TES	ostta16g01140
16	177887	179501	TES	ostta16g01140
16	188118	193116	gene.body	ostta16g01200,ostta16g01210
16	188122	193116	gene.body	ostta16g01200,ostta16g01210
16	207527	209507	TSS	ostta16g01295
16	207527	209507	TSS	ostta16g01295
16	224059	224329	intergenic	
16	225603	226985	TES	ostta16g01360
16	225603	226985	TES	ostta16g01360
16	236071	239204	internal.gene.body	ostta16g01420
16	236071	239204	internal.gene.body	ostta16g01420
16	268409	268579	internal.gene.body	ostta16g01580
16	286313	288846	gene.body	ostta16g01635
16	286263	288846	gene.body	ostta16g01635
16	297999	298435	internal.gene.body	ostta16g01710
16	298302	298435	internal.gene.body	ostta16g01710
16	300516	300752	internal.gene.body	ostta16g01710
16	300516	300752	internal.gene.body	ostta16g01710
16	401306	401728	internal.gene.body	ostta16g02130
16	401306	401728	internal.gene.body	ostta16g02130
16	402032	406324	internal.gene.body	ostta16g02130
16	402032	406324	internal.gene.body	ostta16g02130
16	413729	416198	TSS	ostta16g02170
16	413729	416192	TSS	ostta16g02170
16	417778	419226	TSS	ostta16g02180
16	417759	419223	TSS	ostta16g02180
16	420104	420993	internal.gene.body	ostta16g02190
16	420104	420993	internal.gene.body	ostta16g02190
16	470485	472609	gene.body	ostta16g02460
16	470485	472609	gene.body	ostta16g02460
16	482182	484426	TES	ostta16g02510
16	482182	484433	TES	ostta16g02510
16	526044	528281	gene.body	ostta16g02730
16	525870	528281	gene.body	ostta16g02730
17	195	2214	TES	ostta17g00010
17	190	2214	TES	ostta17g00010
17	5960	6198	internal.gene.body	ostta17g00030
17	5960	6291	internal.gene.body	ostta17g00030
17	30134	37889	gene.body	ostta17g00190,ostta17g00200
17	30134	37889	gene.body	ostta17g00190,ostta17g00200
17	39715	40234	TSS	ostta17g00220
17	39715	40234	TSS	ostta17g00220
17	53037	54510	TSS	ostta17g00300
17	53037	54510	TSS	ostta17g00300
17	65909	66312	internal.gene.body	ostta17g00370
17	65909	66312	internal.gene.body	ostta17g00370
17	79090	79963	TES	ostta17g00450
17	79090	79963	TES	ostta17g00450
17	135326	136626	TSS	ostta17g00790
17	135326	136626	TSS	ostta17g00790
17	139168	140158	gene.body	ostta17g00800
17	139177	140142	gene.body	ostta17g00800
17	222983	223923	internal.gene.body	ostta17g01380
17	222983	223923	internal.gene.body	ostta17g01380
17	313151	313450	internal.gene.body	ostta17g01895
17	313151	313450	internal.gene.body	ostta17g01895
17	317127	317632	internal.gene.body	ostta17g01910
17	317127	317632	internal.gene.body	ostta17g01910
17	356477	357581	TES	ostta17g02090
17	356477	357581	TES	ostta17g02090
17	408864	410823	TES	ostta17g02410
17	408864	410853	TES	ostta17g02410
18	790	2856	gene.body	ostta18g00010
18	790	2856	gene.body	ostta18g00010
18	12390	13837	internal.gene.body	ostta18g00080
18	12390	13837	internal.gene.body	ostta18g00080
18	134971	135246	internal.gene.body	ostta18g00700
18	134957	135246	internal.gene.body	ostta18g00700
18	135777	135966	internal.gene.body	ostta18g00700
18	135777	135982	internal.gene.body	ostta18g00700
18	161242	162392	gene.body	ostta18g00870
18	161242	162392	gene.body	ostta18g00870
18	163536	167760	gene.body	ostta18g00890
18	163536	167760	gene.body	ostta18g00890
18	189626	192204	TES	ostta18g01030
18	189626	192294	gene.body	ostta18g01040
18	196767	197323	internal.gene.body	ostta18g01070
18	196752	197323	internal.gene.body	ostta18g01070
18	202251	203572	TES	ostta18g01100
18	202251	203572	TES	ostta18g01100
18	209354	211951	gene.body	ostta18g01140
18	209354	211951	gene.body	ostta18g01140
18	219192	221040	internal.gene.body	ostta18g01200
18	219192	221040	internal.gene.body	ostta18g01200
18	343931	345567	TES	ostta18g01980
18	343931	345563	TES	ostta18g01980
19	0	42803	gene.body	ostta19g00010,ostta19g00020,ostta19g00030,ostta19g00040,ostta19g00050,ostta19g00070,ostta19g00080,ostta19g00090,ostta19g00100,ostta19g00110,ostta19g00120,ostta19g00130,ostta19g00140,ostta19g00150,ostta19g00160,ostta19g00165
19	0	42809	gene.body	ostta19g00010,ostta19g00020,ostta19g00030,ostta19g00040,ostta19g00050,ostta19g00070,ostta19g00080,ostta19g00090,ostta19g00100,ostta19g00110,ostta19g00120,ostta19g00130,ostta19g00140,ostta19g00150,ostta19g00160,ostta19g00165
19	46514	48410	gene.body	ostta19g00190
19	46511	48411	gene.body	ostta19g00190
19	84398	84974	internal.gene.body	ostta19g00320
19	84398	84972	internal.gene.body	ostta19g00320
19	96784	97432	intergenic	
19	96796	97479	intergenic	
19	97950	98567	TSS	ostta19g00400
19	97950	98564	TSS	ostta19g00400
19	106300	106782	TSS	ostta19g00430
19	106307	107069	TSS	ostta19g00430
19	112707	112935	internal.gene.body	ostta19g00470
19	117800	118430	TES	ostta19g00480
19	117800	118430	TES	ostta19g00480
19	118830	119541	internal.gene.body	ostta19g00490
19	118827	119532	internal.gene.body	ostta19g00490
19	125059	127412	internal.gene.body	ostta19g00515
19	125045	127412	internal.gene.body	ostta19g00515
19	132008	132217	intergenic	
19	132000	132222	intergenic	
19	133320	185218	gene.body	ostta19g00045,ostta19g00075,ostta19g00555,ostta19g00560,ostta19g00570,ostta19g00580,ostta19g00590,ostta19g00600,ostta19g00610,ostta19g00620,ostta19g00630,ostta19g00640,ostta19g00650,ostta19g00660,ostta19g00670
19	133320	185217	gene.body	ostta19g00045,ostta19g00075,ostta19g00555,ostta19g00560,ostta19g00570,ostta19g00580,ostta19g00590,ostta19g00600,ostta19g00610,ostta19g00620,ostta19g00630,ostta19g00640,ostta19g00650,ostta19g00660,ostta19g00670
2	229	433	intergenic	
2	2387	5120	gene.body	ostta02g00020
2	2387	5120	gene.body	ostta02g00020
2	7015	10261	gene.body	ostta02g00037
2	6991	10264	gene.body	ostta02g00037
2	13571	13802	intergenic	
2	13566	13803	intergenic	
2	14426	14962	internal.gene.body	ostta02g00050
2	14413	14962	internal.gene.body	ostta02g00050
2	19313	19563	internal.gene.body	ostta02g00085
2	19308	19568	internal.gene.body	ostta02g00085
2	29865	30212	intergenic	
2	29864	30212	intergenic	
2	32107	32347	internal.gene.body	ostta02g00160
2	36966	37211	internal.gene.body	ostta02g00160
2	36966	37220	internal.gene.body	ostta02g00160
2	41323	41401	internal.gene.body	ostta02g00160
2	41323	41565	internal.gene.body	ostta02g00160
2	42405	42789	internal.gene.body	ostta02g00160
2	42439	42789	internal.gene.body	ostta02g00160
2	71601	77179	gene.body	ostta02g00275,ostta02g00277
2	71605	77179	gene.body	ostta02g00275,ostta02g00277
2	112761	113249	TSS	ostta02g00450
2	112767	113229	TSS	ostta02g00450
2	158418	160934	internal.gene.body	ostta02g00700
2	158453	160934	internal.gene.body	ostta02g00700
2	161679	165840	internal.gene.body	ostta02g00710,ostta02g00720
2	161665	165840	internal.gene.body	ostta02g00710,ostta02g00720
2	166770	167963	internal.gene.body	ostta02g00710,ostta02g00720
2	166770	167963	internal.gene.body	ostta02g00710,ostta02g00720
2	171871	176753	TSS	ostta02g00710,ostta02g00720
2	171871	176753	TSS	ostta02g00710,ostta02g00720
2	182432	183718	internal.gene.body	ostta02g00770
2	182432	183718	internal.gene.body	ostta02g00770
2	193198	210705	internal.gene.body	ostta02g00800
2	193234	210705	internal.gene.body	ostta02g00800
2	220859	222584	internal.gene.body	ostta02g00800
2	220859	222601	internal.gene.body	ostta02g00800
2	237894	238913	TES	ostta02g00900
2	237823	238913	TES	ostta02g00900
2	304864	305894	internal.gene.body	ostta02g01245
2	304836	305895	internal.gene.body	ostta02g01245
2	308052	308470	internal.gene.body	ostta02g01247
2	307923	308464	internal.gene.body	ostta02g01247
2	351716	352156	internal.gene.body	ostta02g01560
2	351731	352173	internal.gene.body	ostta02g01560
2	355593	356260	intergenic	
2	355577	356266	intergenic	
2	387683	388676	intergenic	
2	387674	388666	intergenic	
2	402880	403185	internal.gene.body	ostta02g01900
2	402880	403185	internal.gene.body	ostta02g01900
2	515870	516064	intergenic	
2	520808	521063	intergenic	
2	520803	521062	intergenic	
2	536156	539438	gene.body	ostta02g02615
2	536156	539515	gene.body	ostta02g02615
2	548187	548389	intergenic	
2	556184	556536	TSS	ostta02g02715
2	556172	556547	TSS	ostta02g02715
2	605135	607437	gene.body	ostta02g03030
2	605153	607437	gene.body	ostta02g03030
2	636561	637336	internal.gene.body	ostta02g03250
2	636561	637323	internal.gene.body	ostta02g03250
2	657341	657543	internal.gene.body	ostta02g03370
2	657341	657543	internal.gene.body	ostta02g03370
2	691175	691418	internal.gene.body	ostta02g03520
2	691175	691418	internal.gene.body	ostta02g03520
2	709539	710220	internal.gene.body	ostta02g03610
2	709539	710220	internal.gene.body	ostta02g03610
2	715522	715891	internal.gene.body	ostta02g03630
2	715522	715891	internal.gene.body	ostta02g03630
2	762478	765460	internal.gene.body	ostta02g03910
2	762478	765460	internal.gene.body	ostta02g03910
2	765843	766157	internal.gene.body	ostta02g03910
2	765843	766177	internal.gene.body	ostta02g03910
2	800867	802892	TES	ostta02g04090
2	800867	802892	TES	ostta02g04090
2	804124	807293	gene.body	ostta02g04110
2	804124	807293	gene.body	ostta02g04110
2	811294	816265	gene.body	ostta02g04160,ostta02g04170
2	811294	816265	gene.body	ostta02g04160,ostta02g04170
2	817147	842045	gene.body	ostta02g04200
2	817147	842045	gene.body	ostta02g04200
2	847819	848341	internal.gene.body	ostta02g04230
2	847819	848341	internal.gene.body	ostta02g04230
2	872432	875020	gene.body	ostta02g04400
2	872432	875016	gene.body	ostta02g04400
2	875460	876356	gene.body	ostta02g04410
2	875460	876356	gene.body	ostta02g04410
2	913840	930294	TSS	ostta02g04660
2	913833	930294	TSS	ostta02g04660
2	947164	949091	TSS	ostta02g04810
2	947152	949083	TSS	ostta02g04810
2	979020	981571	gene.body	ostta02g05010
2	979019	981580	gene.body	ostta02g05010
2	983119	986218	gene.body	ostta02g05030
2	983119	986218	gene.body	ostta02g05030
2	994788	995380	internal.gene.body	ostta02g05080
2	994788	995227	internal.gene.body	ostta02g05080
2	996854	997990	TES	ostta02g05090
2	996854	997995	TES	ostta02g05090
2	1048288	1048534	internal.gene.body	ostta02g05420
2	1048210	1048534	internal.gene.body	ostta02g05420
2	1051914	1054275	gene.body	ostta02g05440
2	1051914	1054301	gene.body	ostta02g05440
2	1066794	1071100	TES	ostta02g05530
2	1066773	1071055	TES	ostta02g05530
2	1071648	1072983	TES	ostta02g05540
2	1071648	1072983	TES	ostta02g05540
20	0	1481	gene.body	ostta20g00010
20	0	1522	gene.body	ostta20g00010
20	2250	3647	TES	ostta20g00020
20	2250	3647	TES	ostta20g00020
20	12784	17066	gene.body	ostta20g00090,ostta20g00100
20	12784	17066	gene.body	ostta20g00090,ostta20g00100
20	30938	32926	internal.gene.body	ostta20g00190
20	30938	32926	internal.gene.body	ostta20g00190
20	38634	39205	internal.gene.body	ostta20g00230
20	38633	39205	internal.gene.body	ostta20g00230
20	65812	66397	TSS	ostta20g00390
20	65812	66397	TSS	ostta20g00390
20	77023	83098	gene.body	ostta20g00450,ostta20g00460,ostta20g00470,ostta20g00480
20	77023	83099	gene.body	ostta20g00450,ostta20g00460,ostta20g00470,ostta20g00480
20	85989	87033	internal.gene.body	ostta20g00500
20	85989	87033	internal.gene.body	ostta20g00500
20	131964	132893	internal.gene.body	ostta20g00750
20	131964	132893	internal.gene.body	ostta20g00750
3	278	863	TES	ostta03g00010
3	243	863	TES	ostta03g00010
3	64227	66556	internal.gene.body	ostta03g00320
3	64227	66556	internal.gene.body	ostta03g00320
3	112377	115270	gene.body	ostta03g00670
3	112377	115270	gene.body	ostta03g00670
3	121612	122241	internal.gene.body	ostta03g00710
3	121612	122241	internal.gene.body	ostta03g00710
3	122594	122804	internal.gene.body	ostta03g00710
3	122594	122804	internal.gene.body	ostta03g00710
3	123140	125094	internal.gene.body	ostta03g00710
3	123140	125094	internal.gene.body	ostta03g00710
3	164261	168227	gene.body	ostta03g00930
3	164255	168227	gene.body	ostta03g00930
3	273731	275412	TSS	ostta03g01630
3	273731	275412	TSS	ostta03g01630
3	301340	301557	intergenic	
3	301331	301554	intergenic	
3	302776	304403	TSS	ostta03g01830
3	302776	304414	TSS	ostta03g01830
3	305343	306679	gene.body	ostta03g01850
3	305340	306679	gene.body	ostta03g01850
3	312730	314254	gene.body	ostta03g01900
3	312730	314254	gene.body	ostta03g01900
3	316639	316867	internal.gene.body	ostta03g01920
3	316639	316867	internal.gene.body	ostta03g01920
3	317292	317634	internal.gene.body	ostta03g01930
3	317292	317634	internal.gene.body	ostta03g01930
3	338921	342153	TES	ostta03g02080
3	338921	342153	TES	ostta03g02080
3	395970	398390	gene.body	ostta03g02430,ostta03g02440
3	395970	398390	gene.body	ostta03g02430,ostta03g02440
3	410569	412817	TSS	ostta03g02570
3	410569	412818	TSS	ostta03g02570
3	439037	439427	internal.gene.body	ostta03g02750
3	439037	439427	internal.gene.body	ostta03g02750
3	452625	453597	internal.gene.body	ostta03g02810
3	452625	453597	internal.gene.body	ostta03g02810
3	453915	454142	internal.gene.body	ostta03g02810
3	453915	454142	internal.gene.body	ostta03g02810
3	461389	461787	internal.gene.body	ostta03g02825
3	461389	461787	internal.gene.body	ostta03g02825
3	482437	485567	TES	ostta03g02950
3	482437	485567	TES	ostta03g02950
3	573902	576308	gene.body	ostta03g03430
3	573902	576308	gene.body	ostta03g03430
3	756434	759239	TSS	ostta03g04630
3	756434	759239	TSS	ostta03g04630
3	785801	788384	gene.body	ostta03g04770
3	785801	788384	gene.body	ostta03g04770
3	788911	790245	TES	ostta03g04780
3	788911	790245	TES	ostta03g04780
3	841299	841719	internal.gene.body	ostta03g05090
3	841299	841719	internal.gene.body	ostta03g05090
3	842040	845225	internal.gene.body	ostta03g05090
3	842040	845225	internal.gene.body	ostta03g05090
3	845519	845958	internal.gene.body	ostta03g05090
3	845519	845958	internal.gene.body	ostta03g05090
3	867045	867777	internal.gene.body	ostta03g05200
3	867045	867777	internal.gene.body	ostta03g05200
3	884588	886449	gene.body	ostta03g05330
3	884588	886449	gene.body	ostta03g05330
3	889994	890507	internal.gene.body	ostta03g05370
3	889994	890507	internal.gene.body	ostta03g05370
3	958833	964745	gene.body	ostta03g05770
3	958833	964745	gene.body	ostta03g05770
3	988335	990539	gene.body	ostta03g05990
3	988335	990548	gene.body	ostta03g05990
3	991356	997259	gene.body	ostta03g06010,ostta03g06020,ostta03g06030
3	991356	997261	gene.body	ostta03g06010,ostta03g06020,ostta03g06030
4	237	3081	gene.body	ostta04g00010,ostta04g00015
4	221	3093	gene.body	ostta04g00010,ostta04g00015
4	112178	113436	TES	ostta04g00690
4	112178	113436	TES	ostta04g00690
4	171152	171497	internal.gene.body	ostta04g00960
4	171152	171497	internal.gene.body	ostta04g00960
4	277544	278196	TES	ostta04g01610
4	277544	278196	TES	ostta04g01610
4	283910	285903	internal.gene.body	ostta04g01660
4	283910	285903	internal.gene.body	ostta04g01660
4	298504	298792	internal.gene.body	ostta04g01745
4	298504	298792	internal.gene.body	ostta04g01745
4	302722	304349	internal.gene.body	ostta04g01770
4	302722	304349	internal.gene.body	ostta04g01770
4	338791	339118	internal.gene.body	ostta04g01940
4	338791	339118	internal.gene.body	ostta04g01940
4	340253	340903	TES	ostta04g01950
4	340253	340903	TES	ostta04g01950
4	349767	351232	TES	ostta04g01990
4	349767	351271	TES	ostta04g01990
4	357654	360669	TSS	ostta04g02030
