Orthogroup	ostreococcus_tauri	arabidopsis_thaliana
OG0000014	ostta07g04340, ostta08g02190, ostta11g02490	AT1G13960, AT1G18860, AT1G29280, AT1G29860, AT1G30650, AT1G55600, AT1G62300, AT1G64000, AT1G68150, AT1G69310, AT1G69810, AT1G80840, AT2G03340, AT2G04880, AT2G21900, AT2G23320, AT2G24570, AT2G25000, AT2G30250, AT2G30590, AT2G34830, AT2G37260, AT2G38470, AT2G44745, AT2G46130, AT2G47260, AT3G01080, AT3G01970, AT3G04670, AT3G58710, AT3G62340, AT4G01250, AT4G01720, AT4G04450, AT4G18170, AT4G22070, AT4G23550, AT4G24240, AT4G26440, AT4G26640, AT4G30935, AT4G31550, AT4G31800, AT4G39410, AT5G07100, AT5G13080, AT5G15130, AT5G26170, AT5G28650, AT5G41570, AT5G43290, AT5G46350, AT5G49520, AT5G52830, AT5G56270, AT5G64810
OG0000015		AT1G06990, AT1G20120, AT1G20130, AT1G20132, AT1G20135, AT1G23500, AT1G29660, AT1G29670, AT1G33811, AT1G58430, AT1G58525, AT1G58725, AT1G59030, AT1G59406, AT1G71120, AT1G71250, AT1G71691, AT1G73610, AT1G74460, AT1G75880, AT1G75890, AT1G75900, AT1G75910, AT1G75920, AT1G75930, AT2G04570, AT2G23540, AT2G24560, AT2G30220, AT2G30310, AT2G31540, AT2G31550, AT2G40250, AT2G42990, AT3G04290, AT3G14820, AT3G16370, AT3G43550, AT3G43570, AT3G50400, AT3G53100, AT4G10950, AT4G16220, AT4G16230, AT4G18970, AT4G26790, AT4G28780, AT5G03810, AT5G03820, AT5G08460, AT5G15720, AT5G18430, AT5G22810, AT5G33370, AT5G37690, AT5G41890, AT5G42170, AT5G45670, AT5G45950, AT5G45960, AT5G55050, AT5G63170
OG0000016		AT1G01720, AT1G12260, AT1G26870, AT1G32510, AT1G32770, AT1G32870, AT1G33060, AT1G33280, AT1G34180, AT1G34190, AT1G52880, AT1G52890, AT1G54330, AT1G61110, AT1G62700, AT1G65910, AT1G69490, AT1G71930, AT1G76420, AT1G77450, AT1G79580, AT2G02450, AT2G17040, AT2G18060, AT2G24430, AT2G43000, AT2G46770, AT3G03200, AT3G04060, AT3G04070, AT3G10480, AT3G10490, AT3G10500, AT3G12910, AT3G12977, AT3G15170, AT3G15500, AT3G15510, AT3G17730, AT3G18400, AT3G29035, AT3G49530, AT3G61910, AT4G10350, AT4G17980, AT4G35580, AT4G36160, AT5G04400, AT5G04410, AT5G07680, AT5G08790, AT5G09330, AT5G13180, AT5G17260, AT5G18270, AT5G39610, AT5G39820, AT5G46590, AT5G53950, AT5G61430, AT5G62380, AT5G63790, AT5G64060, AT5G66300
OG0000017	ostta01g00580, ostta04g00780, ostta12g00180	AT1G11670, AT1G12950, AT1G15150, AT1G15160, AT1G15170, AT1G15180, AT1G23300, AT1G33080, AT1G33090, AT1G33100, AT1G33110, AT1G47530, AT1G58340, AT1G61890, AT1G64820, AT1G66760, AT1G66780, AT1G71140, AT1G71870, AT1G73700, AT2G04040, AT2G04050, AT2G04066, AT2G04070, AT2G04080, AT2G04090, AT2G04100, AT2G34360, AT2G38510, AT3G03620, AT3G21690, AT3G23550, AT3G23560, AT3G26590, AT3G59030, AT4G00350, AT4G21903, AT4G21910, AT4G23030, AT4G25640, AT4G29140, AT5G10420, AT5G17700, AT5G19700, AT5G38030, AT5G44050, AT5G49130, AT5G52050, AT5G52450, AT5G65380
OG0000018		AT1G17800, AT1G22480, AT1G48940, AT1G72230, AT1G79800, AT2G02850, AT2G23990, AT2G25060, AT2G26720, AT2G27035, AT2G31050, AT2G32300, AT2G44790, AT3G01070, AT3G17675, AT3G18590, AT3G20570, AT3G27200, AT3G28958, AT3G53330, AT3G60270, AT3G60280, AT4G01380, AT4G12880, AT4G27520, AT4G28365, AT4G30590, AT4G31840, AT4G32490, AT5G07475, AT5G14345, AT5G15350, AT5G20230, AT5G25090, AT5G26330, AT5G53870, AT5G57920
OG0000019		AT1G01430, AT1G29050, AT1G48880, AT1G60790, AT1G70230, AT1G73140, AT1G78710, AT2G14530, AT2G30010, AT2G30900, AT2G31110, AT2G34070, AT2G37720, AT2G38320, AT2G40150, AT2G40160, AT2G40320, AT2G42570, AT3G02440, AT3G06080, AT3G11030, AT3G11570, AT3G12060, AT3G14850, AT3G28150, AT3G54260, AT3G55990, AT3G62390, AT4G01080, AT4G11090, AT4G23790, AT4G25360, AT5G01360, AT5G01620, AT5G06230, AT5G06700, AT5G15890, AT5G15900, AT5G19160, AT5G20590, AT5G20680, AT5G49340, AT5G51640, AT5G58600, AT5G64020, AT5G64470
OG0000020	ostta07g01710	AT1G05160, AT1G12740, AT1G55940, AT1G73340, AT1G78490, AT2G29090, AT2G32440, AT2G42850, AT3G13730, AT3G19270, AT3G30180, AT3G44970, AT3G50660, AT4G19230, AT4G36380, AT5G05690, AT5G14400, AT5G36110, AT5G36130, AT5G36140, AT5G38970, AT5G45340, AT5G48000
OG0000021	ostta11g01490	AT1G12110, AT1G22540, AT1G22550, AT1G22570, AT1G32450, AT1G62200, AT1G68570, AT1G72120, AT1G72125, AT1G72130, AT1G72140, AT2G02020, AT2G02040, AT2G26690, AT2G37900, AT2G40460, AT3G21670, AT3G53960, AT3G54140, AT3G54450, AT4G21680, AT5G01180, AT5G13400, AT5G19640, AT5G46040, AT5G46050
OG0000022		AT1G07460, AT1G15530, AT1G24159, AT1G53060, AT1G53070, AT1G53080, AT1G70110, AT1G70130, AT2G37710, AT2G43690, AT2G43700, AT3G08870, AT3G15356, AT3G16530, AT3G45330, AT3G45390, AT3G45410, AT3G45420, AT3G45430, AT3G45440, AT3G53380, AT3G53810, AT3G55550, AT3G59700, AT3G59730, AT3G59740, AT3G59750, AT4G02410, AT4G02420, AT4G04960, AT4G28350, AT4G29050, AT5G01540, AT5G01550, AT5G01560, AT5G03140, AT5G03350, AT5G10530, AT5G42120, AT5G55830, AT5G59260, AT5G59270, AT5G60270, AT5G60280, AT5G60300, AT5G60310, AT5G60320, AT5G65600
OG0000023		AT1G10550, AT1G11545, AT1G14720, AT1G32170, AT1G65310, AT2G01850, AT2G06850, AT2G14620, AT2G18800, AT2G36870, AT3G23730, AT3G25050, AT3G44990, AT3G48580, AT4G03210, AT4G13080, AT4G13090, AT4G14130, AT4G18990, AT4G25810, AT4G25820, AT4G28850, AT4G30270, AT4G30280, AT4G30290, AT4G37800, AT5G13870, AT5G48070, AT5G57530, AT5G57540, AT5G57550, AT5G57560, AT5G65730
OG0000024	ostta01g05160	AT1G22130, AT1G24260, AT1G26310, AT1G69120, AT1G77950, AT1G77980, AT2G03710, AT2G14210, AT2G22540, AT2G22630, AT2G24840, AT2G34440, AT2G42830, AT2G45650, AT2G45660, AT3G02310, AT3G30260, AT3G57230, AT3G57390, AT3G58780, AT3G61120, AT3G66656, AT4G09960, AT4G11880, AT4G18960, AT4G22950, AT4G24540, AT4G36590, AT4G37940, AT5G10140, AT5G13790, AT5G15800, AT5G20240, AT5G23260, AT5G51860, AT5G51870, AT5G60440, AT5G60910, AT5G62165
OG0000025		
OG0000026	ostta01g00930	AT1G03390, AT1G24430, AT1G27620, AT1G65450, AT2G19070, AT2G23510, AT2G25150, AT2G40230, AT3G03480, AT3G47170, AT3G48720, AT5G07080, AT5G17540, AT5G41040, AT5G48930, AT5G57840, AT5G63560
OG0000027		AT1G19190, AT1G47480, AT1G49640, AT1G49650, AT1G49660, AT1G68620, AT2G03550, AT2G45600, AT2G45610, AT3G05120, AT3G27320, AT3G48690, AT3G48700, AT3G63010, AT5G06570, AT5G14310, AT5G16080, AT5G23530, AT5G27320, AT5G62180
OG0000028		AT1G09390, AT1G28570, AT1G28580, AT1G28590, AT1G28600, AT1G28610, AT1G28640, AT1G28650, AT1G28660, AT1G28670, AT1G31550, AT1G54790, AT1G56670, AT1G67830, AT2G27360, AT3G05180, AT3G26430, AT3G27950, AT3G48460, AT3G62280, AT4G01130, AT5G03980, AT5G14450, AT5G45910
OG0000029		AT1G01620, AT1G17810, AT1G31885, AT1G52180, AT1G73190, AT1G80760, AT2G16850, AT2G25810, AT2G29870, AT2G34390, AT2G36830, AT2G37170, AT2G37180, AT2G39010, AT2G45960, AT3G06100, AT3G16240, AT3G26520, AT3G47440, AT3G53420, AT3G54820, AT3G61430, AT4G00430, AT4G01470, AT4G10380, AT4G17340, AT4G18910, AT4G19030, AT4G23400, AT4G35100, AT5G37810, AT5G37820, AT5G47450, AT5G60660
OG0000030		AT1G11820, AT1G30080, AT1G32860, AT1G66250, AT2G01630, AT2G05790, AT2G16230, AT2G26600, AT2G27500, AT2G39640, AT3G07320, AT3G13560, AT3G15800, AT3G23770, AT3G46570, AT3G55430, AT3G57240, AT3G57260, AT3G57270, AT3G61810, AT4G14080, AT4G16260, AT4G18340, AT4G26830, AT4G29360, AT4G34480, AT5G24318, AT5G42100, AT5G42720, AT5G55180, AT5G56590
OG0000031	ostta09g00730, ostta17g00800, ostta18g01945	AT1G07400, AT1G53540, AT1G54050, AT1G59860, AT2G19310, AT2G29500, AT3G46230, AT4G10250, AT5G04890, AT5G12020, AT5G12030, AT5G37670, AT5G59720
OG0000032		AT1G34300, AT2G19130, AT4G00340, AT4G32300, AT5G20050, AT5G24080, AT5G35370
OG0000033	ostta11g02095	AT1G02850, AT1G26560, AT1G45191, AT1G47600, AT1G51470, AT1G51490, AT1G52400, AT1G60090, AT1G60260, AT1G60270, AT1G61810, AT1G61820, AT1G66270, AT1G66280, AT1G75940, AT2G25630, AT2G32860, AT2G44450, AT2G44460, AT2G44470, AT2G44480, AT2G44490, AT3G03640, AT3G09260, AT3G18070, AT3G18080, AT3G21370, AT3G60120, AT3G60130, AT3G60140, AT3G62740, AT3G62750, AT4G21760, AT4G22100, AT4G27820, AT4G27830, AT5G16580, AT5G24540, AT5G24550, AT5G28510, AT5G36890, AT5G42260, AT5G44640, AT5G48175, AT5G54570
OG0000034	ostta07g00120	AT1G15210, AT1G15520, AT1G59870, AT1G66950, AT2G26910, AT2G29940, AT2G36380, AT2G37280, AT3G16340, AT3G30842, AT3G53480, AT4G15215, AT4G15230, AT4G15233, AT4G15236
OG0000035	ostta05g03480, ostta09g01120, ostta15g00800	AT1G18630, AT1G60000, AT1G60650, AT1G73530, AT1G74230, AT2G21660, AT2G21690, AT2G27330, AT2G35410, AT2G37220, AT2G37510, AT3G08000, AT3G23830, AT3G26420, AT3G46020, AT3G52150, AT3G52380, AT3G53460, AT4G13850, AT4G13860, AT4G20030, AT4G24770, AT4G39260, AT5G04280, AT5G06210, AT5G19030, AT5G50250, AT5G54580, AT5G59860, AT5G59865, AT5G61030
OG0000036		AT1G21100, AT1G21110, AT1G21120, AT1G21130, AT1G33030, AT1G51990, AT1G62900, AT1G63140, AT1G76790, AT1G77520, AT1G77530, AT3G53140, AT4G35150, AT4G35160, AT5G37170, AT5G53810, AT5G54160
OG0000037	ostta03g03410, ostta09g03490	AT1G08650, AT1G12580, AT1G12680, AT1G18890, AT1G35670, AT1G50700, AT1G61950, AT1G74740, AT1G76040, AT2G17290, AT2G17890, AT2G35890, AT2G38910, AT2G41860, AT3G04530, AT3G10660, AT3G20410, AT3G51850, AT3G57530, AT4G04710, AT4G04720, AT4G04740, AT4G09570, AT4G21940, AT4G23650, AT4G35310, AT4G36070, AT5G04870, AT5G12180, AT5G12480, AT5G19360, AT5G19450, AT5G23580, AT5G66210
OG0000038		AT1G01300, AT1G25510, AT1G31450, AT1G64830, AT1G79720, AT2G03200, AT2G35615, AT2G42980, AT3G12700, AT3G18490, AT3G20015, AT3G25700, AT3G59080, AT3G61820, AT5G10760, AT5G10770, AT5G33340
OG0000039	ostta01g05400, ostta07g00910, ostta08g01750, ostta12g01170, ostta16g00765	AT1G11970, AT1G11980, AT1G23410, AT1G31340, AT1G53930, AT1G53945, AT1G53950, AT1G53980, AT1G55060, AT1G65350, AT2G35635, AT2G36170, AT2G47110, AT3G09790, AT3G52590, AT3G62250, AT4G02890, AT4G05050, AT4G05320, AT5G03240, AT5G09340, AT5G20620, AT5G37640
OG0000040	ostta01g04600, ostta07g03100	AT1G02520, AT1G02530, AT1G10680, AT1G27940, AT1G28010, AT1G70610, AT2G36910, AT2G39480, AT2G47000, AT3G28345, AT3G28360, AT3G28380, AT3G28390, AT3G28415, AT3G28860, AT3G55320, AT3G62150, AT4G01820, AT4G01830, AT4G18050, AT4G25960, AT5G39040, AT5G46540
OG0000041		AT1G17060, AT1G67110, AT1G75130, AT2G26710, AT2G46950, AT2G46960, AT3G14610, AT3G14620, AT3G14630, AT3G14640, AT3G14650, AT3G14660, AT3G14680, AT3G14690, AT4G27710, AT5G24900, AT5G24910, AT5G38450
OG0000042	ostta12g01260	AT1G11080, AT1G28110, AT1G33540, AT1G43780, AT1G61130, AT1G73270, AT1G73280, AT1G73290, AT1G73300, AT1G73310, AT2G05850, AT2G12480, AT2G22920, AT2G22970, AT2G22980, AT2G22990, AT2G23000, AT2G23010, AT2G24000, AT2G24010, AT2G33530, AT2G35770, AT2G35780, AT3G02110, AT3G07990, AT3G10450, AT3G12203, AT3G12220, AT3G12230, AT3G12240, AT3G17180, AT3G25420, AT3G52000, AT3G52010, AT3G52020, AT3G56540, AT3G63470, AT4G12910, AT4G15100, AT4G30610, AT4G30810, AT5G08260, AT5G09640, AT5G23210, AT5G36180, AT5G42230, AT5G42240
OG0000043		AT1G01600, AT1G13140, AT1G13150, AT1G24540, AT1G34540, AT1G47620, AT1G57750, AT1G63710, AT1G65340, AT1G66030, AT1G69500, AT2G21910, AT2G23180, AT2G27690, AT2G44890, AT2G45510, AT2G45970, AT3G01900, AT3G26125, AT3G48520, AT3G56630, AT4G00360, AT4G32170, AT4G39480, AT4G39490, AT4G39500, AT4G39510, AT5G02900, AT5G08250, AT5G23190, AT5G51900, AT5G52320, AT5G58860, AT5G63450
OG0000044	ostta14g01390	AT1G10360, AT1G10370, AT1G17170, AT1G17180, AT1G17190, AT1G27130, AT1G27140, AT1G53680, AT1G59670, AT1G59700, AT1G69920, AT1G69930, AT1G74590, AT1G78320, AT1G78340, AT1G78360, AT1G78370, AT1G78380, AT2G29420, AT2G29440, AT2G29450, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT3G09270, AT3G43800, AT5G62480
OG0000045	ostta03g00040, ostta07g01580	AT1G04120, AT1G30400, AT1G30410, AT1G30420, AT2G07680, AT2G34660, AT2G47800, AT3G13080, AT3G13090, AT3G13100, AT3G21250, AT3G59140, AT3G60160, AT3G60970, AT3G62700
