Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ostta01g00320	-	1	-	46754	49186	35.704067	26.743425	27.959524
ostta01g00330	-	1	-	49314	50465	144.338547	108.113937	113.030167
ostta01g00340	-	1	+	50930	51955	22.171539	16.607153	17.362326
ostta01g00350	-	1	+	52198	53061	57.142357	42.801353	44.747646
ostta01g00360	-	1	-	53097	54644	36.010334	26.972828	28.199360
ostta01g00370	-	1	-	54791	55323	294.981995	220.950424	230.997650
ostta01g00380	-	1	+	56147	58519	51.952881	38.914280	40.683815
ostta01g00390	-	1	+	58613	59677	41.899532	31.384016	32.811134
ostta01g00400	-	1	+	59862	61573	132.282410	99.083519	103.589119
ostta01g00410	-	1	-	61621	62139	77.978806	58.408482	61.064480
ostta01g00420	-	1	+	62244	63200	100.126434	74.997726	78.408073
ostta01g00430	-	1	+	63321	63824	100.448410	75.238899	78.660210
ostta01g00440	-	1	+	64084	66000	41.770748	31.287554	32.710285
ostta01g00450	-	1	-	66025	66966	48.265392	36.152237	37.796181
ostta01g00460	-	1	-	67025	70891	39.835533	29.838018	31.194834
ostta01g00470	-	1	+	70936	71700	60.754250	45.506767	47.576088
ostta01g00480	-	1	+	71798	72949	44.492188	33.325993	34.841419
ostta01g00485	-	1	+	73683	74705	1267.115356	949.107727	992.266296
ostta01g00490	-	1	-	74926	75640	555.779053	416.295288	435.225433
ostta01g00500	-	1	+	75939	77687	226.824478	169.898376	177.624146
ostta01g00510	-	1	+	77872	79971	217.459045	162.883392	170.290146
ostta01g00520	-	1	-	80134	82047	77.035004	57.701546	60.325390
ostta01g00530	-	1	+	82212	82685	61.276371	45.897854	47.984955
ostta01g00540	-	1	-	82873	84003	63.614502	47.649185	49.815922
ostta01g00550	-	1	+	84224	84946	71.434303	53.506454	55.939537
ostta01g00560	-	1	+	85050	85577	195.152191	146.174881	152.821869
ostta01g00570	-	1	-	85712	87137	51.955189	38.916004	40.685623
ostta01g00580	-	1	-	87212	88741	16.596731	12.431453	12.996745
ostta01g00590	-	1	+	88768	89934	31.676092	23.726351	24.805252
ostta01g00600	-	1	-	90016	90726	39.362869	29.483980	30.824696
ostta01g00610	-	1	+	90815	91814	62.065773	46.489140	48.603127
ostta01g00620	-	1	-	91879	94590	270.275452	202.444473	211.650192
ostta01g00630	-	1	+	94920	96557	33.553726	25.132755	26.275610
ostta01g00640	-	1	-	96592	97002	63.041363	47.219887	49.367104
ostta01g00650	-	1	-	97316	99487	27.876150	20.880077	21.829554
ostta01g00660	-	1	-	99641	100810	62.611538	46.897934	49.030510
ostta01g00670	-	1	+	100829	101419	205.414551	153.861710	160.858215
ostta01g00680	-	1	-	101513	102394	47.963718	35.926273	37.559944
ostta01g00690	-	1	+	102763	103668	62.714127	46.974777	49.110851
ostta01g00720	-	1	-	105008	107362	179.173477	134.206345	140.309082
ostta01g00730	-	1	+	108154	109832	44.347931	33.217941	34.728455
ostta01g00740	-	1	+	109952	111664	27.997663	20.971096	21.924709
ostta01g00750	-	1	-	111707	113377	16.225615	12.153476	12.706128
ostta01g00760	-	1	+	113457	114842	35.499638	26.590302	27.799435
ostta01g00770	-	1	+	114894	115601	27.816383	20.835312	21.782751
ostta01g00780	-	1	+	115769	117304	28.083334	21.035265	21.991798
ostta01g00790	-	1	-	117359	118513	76.371429	57.204506	59.805759
ostta01g00800	-	1	+	118525	119769	84.965462	63.641697	66.535667
ostta01g00810	-	1	-	119827	121488	65.107704	48.767639	50.985237
ostta01g00820	-	1	+	121857	128710	15.469636	11.587225	12.114128
ostta01g00830	-	1	-	128921	129758	1439.096436	1077.926636	1126.942993
ostta01g00840	-	1	+	130099	130569	21.970276	16.456402	17.204720
ostta01g00850	-	1	+	130650	131342	11.406926	8.544132	8.932657
ostta01g00860	-	1	-	131423	132259	263.219849	197.159622	206.125015
ostta01g00870	-	1	+	132481	133087	16.384211	12.272269	12.830323
ostta01g00880	-	1	-	133114	134001	140.361481	105.134995	109.915771
ostta01g00890	-	1	+	134867	138884	539.789673	404.318787	422.704285
ostta01g00910	-	1	-	139011	139442	125.795135	94.224365	98.509003
ostta01g00920	-	1	+	139521	140305	75.164482	56.300468	58.860603
ostta01g00930	-	1	+	140403	142061	21.753466	16.294003	17.034937
ostta01g00940	-	1	-	142114	144696	67.425476	50.503719	52.800266
ostta01g00950	-	1	+	144992	146641	107.506767	80.525818	84.187546
ostta01g00960	-	1	-	146736	147239	54.043655	40.480331	42.321083
ostta01g00970	-	1	-	147536	149239	32.815151	24.579540	25.697241
ostta01g00980	-	1	-	149384	151843	82.947357	62.130077	64.955307
ostta01g00990	-	1	-	152191	152772	92.384880	69.199066	72.345741
ostta01g01000	-	1	-	152960	154822	21.891035	16.397047	17.142666
ostta01g01020	-	1	+	155024	155716	2752.667236	2061.830811	2155.588135
ostta01g01030	-	1	-	155881	157464	551.753784	413.280273	432.073273
ostta01g01040	-	1	+	157696	158310	388.300812	290.849030	304.074738
ostta01g01050	-	1	-	158380	159390	86.648865	64.902618	67.853920
ostta01g01060	-	1	+	159566	161083	116.779976	87.471733	91.449310
ostta01g01070	-	1	-	161496	162326	48.921780	36.643890	38.310192
ostta01g01080	-	1	-	162382	163222	76.882111	57.587025	60.205666
ostta01g01085	-	1	-	163356	164054	219.922745	164.728775	172.219467
ostta01g01090	-	1	-	164155	165039	34.068928	25.518658	26.679060
ostta01g01100	-	1	+	165406	167133	120.265625	90.082588	94.178894
ostta01g01110	-	1	-	167162	169540	88.546867	66.324280	69.340225
ostta01g01120	-	1	+	169940	170812	167.603668	125.540215	131.248871
ostta01g01130	-	1	-	170931	171908	91.490799	68.529373	71.645592
ostta01g01140	-	1	+	171962	172477	97.707367	73.185776	76.513733
ostta01g01150	-	1	-	172598	174028	21.463312	16.076670	16.807720
ostta01g01160	-	1	+	174153	175529	21.098766	15.803614	16.522247
ostta01g01170	-	1	-	175660	176558	262.170654	196.373749	205.303406
ostta01g01180	-	1	+	176701	177884	102.429504	76.722794	80.211594
ostta01g01190	-	1	-	177957	178247	69.670105	52.185013	54.558010
ostta01g01200	-	1	+	178286	178895	749.979797	561.757568	587.302185
ostta01g01210	-	1	-	178975	179581	398.748505	298.674683	312.256256
ostta01g01220	-	1	+	182192	184129	188.111450	140.901169	147.308334
ostta01g01230	-	1	-	184250	185428	76.016113	56.938370	59.527512
ostta01g01240	-	1	+	185601	185891	1.597938	1.196904	1.251330
ostta01g01250	-	1	-	185988	186605	63.745956	47.747650	49.918865
ostta01g01260	-	1	+	186688	187740	54.941177	41.152599	43.023922
ostta01g01270	-	1	-	187820	191978	26.767187	20.049433	20.961136
ostta01g01280	-	1	+	192033	192449	72.640289	54.409775	56.883934
ostta01g01290	-	1	+	192826	193755	350.905365	262.838715	274.790741
ostta01g01295	-	1	-	193905	194333	154.279724	115.560173	120.815018
ostta01g01300	-	1	-	194449	197277	42.462353	31.805584	33.251873
ostta01g01310	-	1	+	197334	199433	20.222857	15.147532	15.836330
ostta01g01320	-	1	-	199523	200728	114.645935	85.873268	89.778168
ostta01g01330	-	1	-	200850	201965	88.985664	66.652954	69.683846
ostta01g01340	-	1	+	202372	207174	0.103269	0.077352	0.080869
ostta01g01350	-	1	+	207552	210395	25.335794	18.977276	19.840225
ostta01g01370	-	1	-	210403	213213	0.149769	0.112181	0.117283
ostta01g01380	-	1	+	213419	214864	61.109959	45.773205	47.854641
ostta01g01390	-	1	+	215038	216333	0.317901	0.238117	0.248945
ostta01g01400	-	1	+	216544	217092	102.398903	76.699875	80.187630
ostta01g01410	-	1	-	217164	218444	75.507416	56.557339	59.129154
ostta01g01420	-	1	+	218613	220111	82.158775	61.539402	64.337776
ostta01g01430	-	1	-	220121	220660	77.353706	57.940262	60.574966
ostta01g01440	-	1	-	220812	222917	46.813389	35.064644	36.659130
ostta01g01450	-	1	+	223517	225079	101.024315	75.670265	79.111198
ostta01g01460	-	1	-	225192	227378	58.980797	44.178402	46.187313
ostta01g01470	-	1	+	227509	228099	113.478851	84.999092	88.864227
ostta01g01480	-	1	-	228175	229899	82.492172	61.789127	64.598854
ostta01g01490	-	1	-	230002	232105	36.706482	27.494263	28.744503
ostta01g01500	-	1	-	232274	234111	715.329163	535.803162	560.167603
ostta01g01510	-	1	+	234834	235574	133.699051	100.144630	104.698479
ostta01g01520	-	1	-	235714	236250	43.409687	32.515167	33.993721
ostta01g01530	-	1	+	236368	240984	21.246483	15.914257	16.637922
ostta01g01540	-	1	-	241024	241683	174.277267	130.538940	136.474899
ostta01g01550	-	1	+	242023	243027	550.714417	412.501740	431.259338
ostta01g01560	-	1	-	243316	245194	1111.745483	832.730957	870.597595
ostta01g01570	-	1	+	245528	246598	82.207283	61.575741	64.375755
ostta01g01580	-	1	-	246644	247770	52.568203	39.375172	41.165672
ostta01g01590	-	1	-	247874	248815	166.377914	124.622086	130.289001
ostta01g01600	-	1	-	249358	251400	177.323059	132.820328	138.860031
ostta01g01610	-	1	+	251929	254225	25.757637	19.293249	20.170567
ostta01g01620	-	1	-	254284	254451	24.511906	18.360159	19.195045
ostta01g01630	-	1	+	254566	255360	52.593712	39.394279	41.185646
ostta01g01640	-	1	-	255406	256155	85.670670	64.169922	67.087906
ostta01g01650	-	1	+	256261	257847	34.601765	25.917767	27.096319
ostta01g01660	-	1	-	258531	259472	17.467091	13.083379	13.678315
ostta01g01670	-	1	+	260009	260487	394.039764	295.147675	308.568878
ostta01g01680	-	1	-	260551	261756	34.179104	25.601183	26.765339
ostta01g01690	-	1	+	261794	262492	124.061516	92.925827	97.151413
ostta01g01700	-	1	-	262672	263880	107.665840	80.644966	84.312119
ostta01g01710	-	1	+	263960	265756	85.928772	64.363251	67.290016
ostta01g01720	-	1	+	265946	269838	57.963993	43.416782	45.391064
ostta01g01740	-	1	+	270721	271821	15.735695	11.786511	12.322476
ostta01g01750	-	1	-	271860	273623	106.749992	79.958969	83.594925
ostta01g01760	-	1	+	274050	274394	717.046448	537.089417	561.512390
ostta01g01770	-	1	+	274630	275490	51.783974	38.787762	40.551548
ostta01g01780	-	1	-	275562	278363	33.723770	25.260124	26.408772
ostta01g01790	-	1	+	278432	279790	59.509933	44.574738	46.601673
ostta01g01800	-	1	-	279859	280349	339.603973	254.373642	265.940704
ostta01g01810	-	1	+	280663	283231	27.445305	20.557364	21.492163
ostta01g01820	-	1	-	283291	284247	96.868332	72.557312	75.856689
ostta01g01830	-	1	+	284461	289766	85.120987	63.758190	66.657448
ostta01g01850	-	1	+	289887	291488	45.220974	33.871876	35.412121
ostta01g01855	-	1	+	291571	293022	28.611570	21.430931	22.405455
ostta01g01860	-	1	+	293132	294745	35.280670	26.426289	27.627966
ostta01g01870	-	1	-	294781	295446	33.241741	24.899069	26.031300
ostta01g01880	-	1	-	295536	296321	84.928757	63.614208	66.506920
ostta01g01890	-	1	-	296421	298508	71.858238	53.823994	56.271519
ostta01g01900	-	1	+	298806	299498	56.572872	42.374790	44.301689
ostta01g01910	-	1	-	299642	299890	17.827309	13.353193	13.960399
ostta01g01920	-	1	-	299983	301821	44.366505	33.231853	34.742996
ostta01g01930	-	1	-	301964	303034	33.092438	24.787237	25.914381
ostta01g01940	-	1	+	303784	304755	127.115227	95.213142	99.542747
ostta01g01950	-	1	-	304864	305928	56.787796	42.535774	44.469994
ostta01g01960	-	1	+	306336	307733	75.751785	56.740376	59.320518
ostta01g01970	-	1	+	308430	308858	307.505829	230.331161	240.804947
ostta01g01980	-	1	-	309245	310762	271.755005	203.552704	212.808823
ostta01g01990	-	1	+	310973	312142	55.921368	41.886795	43.791504
ostta01g02000	-	1	+	312307	313305	39.376377	29.494095	30.835274
ostta01g02010	-	1	+	313682	314923	26.316425	19.711798	20.608149
ostta01g02020	-	1	-	314990	316810	61.313011	45.925301	48.013649
ostta01g02030	-	1	+	316935	317375	91.032135	68.185822	71.286415
ostta01g02040	-	1	+	317625	318398	43.752686	32.772083	34.262321
ostta01g02050	-	1	+	318441	319628	48.307240	36.183582	37.828949
ostta01g02060	-	1	-	319721	320329	279.399017	209.278305	218.794769
ostta01g02070	-	1	+	320501	321520	85.109436	63.749538	66.648407
ostta01g02080	-	1	+	321798	322511	115.394958	86.434311	90.364716
ostta01g02090	-	1	-	322594	323454	27.012775	20.233385	21.153454
ostta01g02100	-	1	+	323619	324758	61.740353	46.245388	48.348293
ostta01g02110	-	1	+	324904	326274	29.800146	22.321211	23.336218
ostta01g02120	-	1	+	326521	327549	67.732750	50.733875	53.040886
ostta01g02130	-	1	+	327723	328661	206.724197	154.842682	161.883789
ostta01g02140	-	1	-	328765	329724	36.426041	27.284204	28.524893
ostta01g02150	-	1	-	329806	330762	10.795194	8.085926	8.453616
ostta01g02160	-	1	+	331351	333369	0.583952	0.437398	0.457287
ostta01g02170	-	1	-	333464	334183	159.383347	119.382935	124.811615
ostta01g02180	-	1	-	334286	335764	56.031101	41.968987	43.877434
ostta01g02190	-	1	+	335956	336819	27.377316	20.506437	21.438921
ostta01g02200	-	1	+	336894	337829	162.816238	121.954292	127.499886
ostta01g02210	-	1	+	337998	339817	274.973175	205.963211	215.328934
ostta01g02220	-	1	+	340060	340908	210.639572	157.775406	164.949890
ostta01g02230	-	1	-	341010	342311	139.074600	104.171082	108.908028
ostta01g02240	-	1	+	341281	343875	51.661995	38.696396	40.456028
ostta01g02250	-	1	+	344049	346060	55.862911	41.843010	43.745728
ostta01g02260	-	1	-	346197	346568	38.637096	28.940353	30.256350
ostta01g02270	-	1	+	346819	348063	95.679520	71.666855	74.925743
ostta01g02280	-	1	-	348086	348799	36.665268	27.463392	28.712231
ostta01g02290	-	1	+	349406	350965	77.134613	57.776154	60.403400
ostta01g02300	-	1	-	351014	352774	31.565588	23.643579	24.718718
ostta01g02310	-	1	+	352863	354056	100.095474	74.974533	78.383835
ostta01g02320	-	1	-	354194	354685	80.481705	60.283230	63.024475
ostta01g02330	-	1	+	354716	355777	22.253296	16.668390	17.426350
ostta01g02340	-	1	-	355843	358305	34.476250	25.823753	26.998030
ostta01g02350	-	1	+	358449	362702	46.264927	34.653828	36.229633
ostta01g02360	-	1	-	362768	364054	205.909866	154.232712	161.246109
ostta01g02370	-	1	+	364311	365291	80.415901	60.233940	62.972946
ostta01g02380	-	1	-	365460	365729	129.477783	96.982773	101.392845
ostta01g02390	-	1	+	366114	367382	232.035400	173.801529	181.704773
ostta01g02400	-	1	-	367603	368419	2113.837158	1583.328003	1655.326172
ostta01g02410	-	1	-	368700	369773	18.852886	14.121382	14.763519
ostta01g02420	-	1	-	369901	371769	32.825577	24.587349	25.705402
ostta01g02430	-	1	+	372029	374167	69.086021	51.747517	54.100624
ostta01g02440	-	1	+	374327	377371	113.309685	84.872383	88.731766
ostta01g02450	-	1	-	377442	378806	93.236633	69.837059	73.012741
ostta01g02460	-	1	+	379160	379942	128.756073	96.442192	100.827682
ostta01g02470	-	1	-	379983	381164	59.841316	44.822952	46.861179
ostta01g02480	-	1	-	381242	382389	570.961060	427.667084	447.114319
ostta01g02490	-	1	+	382782	385592	154.673065	115.854805	121.123039
ostta01g02500	-	1	+	385667	386290	46.665066	34.953545	36.542976
ostta01g02510	-	1	-	386319	387437	236.294006	176.991364	185.039627
ostta01g02520	-	1	+	387659	390165	59.910946	44.875111	46.915703
ostta01g02530	-	1	-	390222	392138	23.981220	17.962658	18.779470
ostta01g02540	-	1	+	392246	393190	66.025398	49.455017	51.703876
ostta01g02560	-	1	-	393231	396533	19.552225	14.645207	15.311166
ostta01g02570	-	1	-	397183	398178	36.887550	27.629890	28.886299
ostta01g02580	-	1	+	398580	401201	67.736458	50.736652	53.043789
ostta01g02590	-	1	+	401349	404447	26.684736	19.987673	20.896568
ostta01g02600	-	1	+	404605	406041	64.080025	47.997875	50.180470
ostta01g02610	-	1	+	406326	408200	43.524799	32.601391	34.083866
ostta01g02615	-	1	+	408258	408860	45.754562	34.271549	35.829971
ostta01g02617	-	1	+	408934	410025	44.721611	33.497837	35.021076
ostta01g02620	-	1	+	410210	410596	84.186043	63.057892	65.925301
ostta01g02630	-	1	-	410671	412197	35.109367	26.297977	27.493820
ostta01g02640	-	1	+	412838	413554	116.093445	86.957497	90.911697
ostta01g02650	-	1	-	413618	415684	36.954041	27.679695	28.938364
ostta01g02660	-	1	-	415754	416979	38.836460	29.089684	30.412470
ostta01g02670	-	1	+	417482	419509	118.440582	88.715576	92.749718
ostta01g02680	-	1	-	419525	421081	37.850674	28.351297	29.640509
ostta01g02690	-	1	+	421221	421997	132.334625	99.122635	103.630013
ostta01g02700	-	1	+	422188	422829	62.271027	46.642879	48.763863
ostta01g02710	-	1	-	422931	423698	52.733074	39.498669	41.294781
ostta01g02720	-	1	-	423905	425128	52.160130	39.069515	40.846111
ostta01g02730	-	1	-	425298	426212	45.311474	33.939663	35.482990
ostta01g02740	-	1	-	426348	426932	1316.734619	986.274048	1031.122559
ostta01g02750	-	1	-	427103	429115	95.381531	71.443649	74.692390
ostta01g02760	-	1	+	429467	433880	68.580574	51.368923	53.704811
ostta01g02770	-	1	-	433916	436408	111.253510	83.332245	87.121590
ostta01g02780	-	1	+	436726	439032	147.807999	110.712654	115.747070
ostta01g02790	-	1	+	439320	440486	43.431877	32.531788	34.011097
ostta01g02800	-	1	+	440652	442157	34.331341	25.715212	26.884552
ostta01g02810	-	1	-	442193	442663	0.959660	0.718814	0.751501
ostta01g02820	-	1	-	443297	443854	17.528673	13.129505	13.726542
ostta01g02825	-	1	-	443930	444956	394.487823	295.483307	308.919739
ostta01g02830	-	1	-	445045	447246	19.184378	14.369678	15.023108
ostta01g02840	-	1	+	447882	449576	57.961651	43.415028	45.389229
ostta01g02845	-	1	+	449740	451020	50.704136	37.978928	39.705936
ostta01g02847	-	1	+	451156	452112	129.042847	96.656998	101.052254
ostta01g02850	-	1	-	452238	453263	95.178360	71.291466	74.533287
ostta01g02860	-	1	+	453660	455516	19.341412	14.487303	15.146080
ostta01g02870	-	1	-	455597	456586	36.365658	27.238976	28.477606
ostta01g02880	-	1	-	456756	457799	128.780655	96.460602	100.846931
ostta01g02890	-	1	-	458034	459029	37.384537	28.002148	29.275482
ostta01g02895	-	1	-	459112	459932	85.540985	64.072784	66.986351
ostta01g02910	-	1	-	460918	462480	94.014717	70.419868	73.622055
ostta01g02920	-	1	+	462851	463637	251.003433	188.009155	196.558456
ostta01g02930	-	1	-	463671	467804	14.120948	10.577017	11.057983
ostta01g02940	-	1	-	467934	468857	95.853897	71.797462	75.062294
ostta01g02950	-	1	+	469390	470001	38.508171	28.843784	30.155392
ostta01g02960	-	1	-	470090	470953	41.283566	30.922636	32.328773
ostta01g02970	-	1	+	471084	471882	109.100357	81.719467	85.435478
ostta01g02980	-	1	-	471955	472568	116.898010	87.560143	91.541740
ostta01g02990	-	1	+	472826	475462	28.934015	21.672451	22.657959
ostta01g03000	-	1	+	475586	476797	32.279701	24.178473	25.277935
ostta01g03010	-	1	+	476849	477343	49.393940	36.997551	38.679935
ostta01g03020	-	1	+	477604	478466	114.011238	85.397858	89.281143
ostta01g03030	-	1	-	478554	481865	671.857971	503.241913	526.125732
ostta01g03040	-	1	+	482259	483765	1317.237549	986.650757	1031.516479
ostta01g03050	-	1	+	483932	487105	25.726213	19.269712	20.145958
ostta01g03060	-	1	-	487340	488056	102.517433	76.788658	80.280449
ostta01g03070	-	1	-	488130	489179	90.478096	67.770828	70.852554
ostta01g03080	-	1	+	489262	489883	104.182854	78.036110	81.584625
ostta01g03090	-	1	-	489952	490962	38.181999	28.599470	29.899969
ostta01g03100	-	1	-	491038	493134	67.946587	50.894047	53.208336
ostta01g03110	-	1	-	493361	494220	142.889343	107.028435	111.895317
ostta01g03120	-	1	+	494327	496060	42.127453	31.554737	32.989616
ostta01g03130	-	1	-	496096	497229	56.691357	42.463539	44.394474
ostta01g03140	-	1	-	497700	498219	381.372406	285.659454	298.649200
ostta01g03150	-	1	+	498516	498974	3025.705811	2266.345215	2369.402100
ostta01g03160	-	1	+	499206	501608	58.663338	43.940613	45.938713
ostta01g03170	-	1	+	501930	502529	90.910004	68.094345	71.190773
ostta01g03180	-	1	-	502576	503448	77.421532	57.991070	60.628078
ostta01g03190	-	1	+	503776	504647	1509.920166	1130.975830	1182.404419
ostta01g03200	-	1	+	504989	509965	28.915813	21.658819	22.643705
ostta01g03210	-	1	+	510122	510720	189.639008	142.045349	148.504547
ostta01g03220	-	1	-	510812	511297	109.995888	82.390244	86.136757
ostta01g03230	-	1	+	511438	512352	56.784702	42.533459	44.467571
ostta01g03240	-	1	-	512479	513801	38.779289	29.046860	30.367699
ostta01g03250	-	1	-	513900	515276	80.963692	60.644253	63.401909
ostta01g03260	-	1	-	515394	517649	60.777927	45.524506	47.594631
ostta01g03270	-	1	+	517703	519505	48.256241	36.145382	37.789013
ostta01g03280	-	1	-	519586	526130	140.070358	104.916931	109.687790
ostta01g03290	-	1	+	527072	528969	30.968868	23.196619	24.251432
ostta01g03300	-	1	-	529045	529534	181.790802	136.166809	142.358688
ostta01g03310	-	1	+	529840	531525	93.586006	70.098747	73.286331
ostta01g03320	-	1	-	531586	533614	89.983727	67.400536	70.465424
ostta01g03330	-	1	+	533727	534734	45.402779	34.008053	35.554493
ostta01g03340	-	1	-	534808	536223	75.883102	56.838737	59.423351
ostta01g03350	-	1	-	536509	537594	77.936462	58.376762	61.031319
ostta01g03360	-	1	-	537606	537947	63.195908	47.335644	49.488129
ostta01g03370	-	1	-	538135	539040	149.001099	111.606323	116.681381
ostta01g03380	-	1	+	539055	539942	97.986488	73.394836	76.732307
ostta01g03390	-	1	-	539986	541170	170.192825	127.479576	133.276428
ostta01g03400	-	1	+	541439	542083	136.739532	102.422043	107.079460
ostta01g03410	-	1	-	542160	543539	90.381882	67.698761	70.777206
ostta01g03420	-	1	+	544190	546481	361.031403	270.423431	282.720337
ostta01g03430	-	1	-	546616	547062	73.096199	54.751263	57.240955
ostta01g03440	-	1	+	547159	548763	68.081619	50.995190	53.314079
ostta01g03450	-	1	+	548986	549744	810.462463	607.060913	634.665588
ostta01g03460	-	1	-	549891	551135	49.101204	36.778286	38.450695
ostta01g03470	-	1	+	551202	555746	32.614742	24.429428	25.540300
ostta01g03480	-	1	+	555920	557146	43.954361	32.923145	34.420250
ostta01g03490	-	1	-	557202	557750	53.205830	39.852772	41.664989
ostta01g03495	-	1	+	557785	558705	23.044518	17.261040	18.045948
ostta01g03500	-	1	+	558803	560278	46.884823	35.118149	36.715069
ostta01g03510	-	1	-	560311	560481	0.000000	0.000000	0.000000
ostta01g03520	-	1	+	560662	561458	494.683136	370.532623	387.381744
ostta01g03530	-	1	+	561575	562843	723.297852	541.771912	566.407837
ostta01g03540	-	1	-	563026	563984	530.249023	397.172546	415.233063
ostta01g03550	-	1	-	564115	564633	97.445084	72.989311	76.308334
ostta01g03560	-	1	-	564806	566701	68.193298	51.078838	53.401535
ostta01g03570	-	1	+	566940	568911	61.137589	45.793900	47.876278
ostta01g03580	-	1	+	568978	570210	22.663017	16.975285	17.747198
ostta01g03590	-	1	-	570226	571260	39.107731	29.292873	30.624901
ostta01g03600	-	1	+	571626	573514	118.638321	88.863686	92.904564
ostta01g03610	-	1	+	573687	576233	33.472713	25.072073	26.212172
ostta01g03620	-	1	-	576324	577607	171.102798	128.161163	133.989014
ostta01g03630	-	1	+	577938	580955	155.257462	116.292526	121.580666
ostta01g03640	-	1	-	581083	582048	100.916145	75.589241	79.026489
ostta01g03650	-	1	+	582147	583040	53.441833	40.029549	41.849800
ostta01g03660	-	1	-	583075	584694	43.195679	32.354870	33.826134
ostta01g03670	-	1	-	584907	585461	1265.295532	947.744629	990.841125
ostta01g03680	-	1	+	585598	586425	75.708931	56.708279	59.286957
ostta01g03690	-	1	-	586543	586908	92.204918	69.064270	72.204811
ostta01g03700	-	1	-	587075	588190	1.501792	1.124888	1.176039
ostta01g03710	-	1	+	588337	588945	0.221675	0.166041	0.173592
ostta01g03720	-	1	-	588982	593079	28.177404	21.105726	22.065462
ostta01g03730	-	1	+	593435	594571	60.831135	45.564358	47.636295
ostta01g03740	-	1	-	594622	595563	154.731445	115.898529	121.168747
ostta01g03750	-	1	+	595800	596873	148.794220	111.451363	116.519371
ostta01g03760	-	1	+	597062	599734	206.563812	154.722549	161.758194
ostta01g03770	-	1	-	599908	601077	388.274261	290.829163	304.053955
ostta01g03780	-	1	+	601235	604084	43.128071	32.304230	33.773193
ostta01g03790	-	1	-	604139	606368	64.550522	48.350292	50.548912
ostta01g03800	-	1	-	606630	608222	30.001255	22.471846	23.493704
ostta01g03810	-	1	+	608724	609851	53.484043	40.061165	41.882858
ostta01g03820	-	1	-	609891	610952	92.584747	69.348770	72.502251
ostta01g03830	-	1	-	611175	611882	25.864407	19.373222	20.254175
ostta01g03840	-	1	+	611935	613386	31.856491	23.861475	24.946522
ostta01g03850	-	1	-	613457	614062	44.311882	33.190941	34.700222
ostta01g03860	-	1	-	614261	615091	13.427197	10.057377	10.514713
ostta01g03870	-	1	+	615221	617704	8.806764	6.596532	6.896495
ostta01g03880	-	1	-	617905	618357	788.231812	590.409424	617.257019
ostta01g03890	-	1	-	618838	619727	245.912201	184.195679	192.571564
ostta01g03900	-	1	+	619836	620973	85.311829	63.901142	66.806900
ostta01g03910	-	1	-	621259	621708	2458.340088	1841.370972	1925.103271
ostta01g03920	-	1	+	622080	622697	385.784790	288.964447	302.104492
ostta01g03930	-	1	-	622792	624732	0.874510	0.655034	0.684821
ostta01g03940	-	1	+	624883	625472	185.613632	139.030212	145.352310
ostta01g03950	-	1	-	625532	627238	179.454010	134.416489	140.528763
